Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
start - v1.0.0,6/1/2014,7/11/2015,72.6%,87.3%,88.7%,89.7%,90.2%,91.7%,92.5%,93.1%,93.4%,93.7%,94.5%,95.3%,95.8%,95.9%,95.9%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,68.8%,78.7%,81.9%,83.5%,84.3%,87.3%,88.0%,88.5%,88.9%,89.4%,90.8%,92.4%,93.1%,93.1%,93.1%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,63.4%,74.3%,76.0%,77.6%,79.1%,83.7%,85.8%,86.8%,87.4%,87.8%,88.8%,89.8%,90.7%,90.9%,90.9%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,53.9%,64.7%,71.1%,73.9%,76.1%,79.5%,81.1%,82.3%,83.3%,83.9%,85.5%,87.1%,88.3%,88.7%,88.7%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,49.1%,60.1%,66.5%,71.1%,73.2%,78.3%,80.2%,81.5%,82.3%,82.9%,84.3%,85.7%,86.8%,87.4%,87.4%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,42.8%,54.8%,62.8%,66.5%,69.6%,75.4%,78.1%,79.9%,81.0%,81.6%,83.0%,84.8%,86.4%,87.4%,87.4%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,32.6%,47.6%,53.7%,57.7%,60.7%,68.4%,72.1%,74.5%,76.2%,77.2%,79.7%,82.4%,84.4%,86.3%,86.5%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,34.0%,47.5%,51.5%,53.9%,56.1%,63.1%,67.1%,69.4%,71.2%,72.5%,75.6%,78.2%,80.4%,82.4%,82.8%
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,30.9%,43.7%,47.2%,49.6%,51.8%,59.2%,64.0%,67.0%,69.2%,70.9%,74.3%,77.0%,79.2%,81.3%,81.8%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,24.2%,36.3%,39.6%,42.6%,45.4%,55.0%,60.7%,64.0%,66.1%,67.9%,70.5%,72.9%,75.0%,77.0%,77.2%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,20.2%,32.3%,36.4%,39.6%,42.6%,51.4%,55.9%,59.1%,61.4%,63.0%,66.6%,69.1%,71.1%,72.8%,72.8%
v1.10.0 - now,3/26/2018,4/23/2018,19.0%,27.3%,32.0%,35.3%,37.8%,46.2%,51.0%,54.6%,57.0%,58.7%,62.4%,65.4%,67.2%,67.3%,67.3%
