Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
11/2016,11/1/2016,12/1/2016,41.4%,62.9%,74.8%,85.2%,91.4%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,33.0%,64.3%,88.2%,92.3%,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,40.5%,78.6%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,40.7%,65.1%,78.3%,86.2%,91.5%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,32.1%,51.6%,69.7%,77.8%,81.4%,92.3%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,32.1%,57.3%,76.3%,81.3%,84.7%,93.5%,97.7%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,37.2%,55.2%,70.9%,81.4%,84.3%,91.3%,94.2%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,32.4%,60.3%,70.8%,76.7%,79.9%,86.8%,92.2%,95.4%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,34.9%,51.0%,64.6%,75.5%,81.2%,93.8%,96.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,27.8%,50.5%,71.6%,81.0%,87.5%,96.6%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,43.1%,61.4%,69.5%,76.6%,82.2%,92.9%,97.0%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,39.3%,55.6%,66.2%,75.4%,81.0%,94.7%,98.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,28.9%,54.3%,66.0%,72.1%,77.1%,87.9%,93.7%,96.2%,97.8%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,24.0%,41.5%,51.0%,58.0%,63.5%,84.0%,92.5%,95.0%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,33.2%,54.5%,62.8%,67.9%,72.9%,85.2%,89.5%,93.1%,95.3%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,27.1%,51.8%,60.6%,65.3%,68.2%,78.2%,84.1%,89.4%,92.4%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,26.5%,51.4%,56.9%,60.8%,64.6%,77.9%,84.0%,89.5%,92.3%,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,23.9%,47.9%,56.3%,63.4%,70.4%,84.5%,93.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
