Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,52.6%,91.6%,94.8%,97.3%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,53.8%,78.8%,84.2%,89.4%,91.6%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,36.2%,60.3%,78.6%,88.2%,92.2%,99.0%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,29.3%,49.7%,70.1%,78.0%,83.5%,96.4%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,40.4%,53.1%,64.8%,74.8%,82.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,50.9%,64.3%,74.3%,84.0%,90.0%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,24.2%,40.9%,53.9%,66.7%,79.2%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,32.5%,50.6%,66.7%,80.0%,93.0%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,36.1%,53.1%,63.9%,73.6%,82.5%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,31.2%,50.0%,65.1%,72.5%,77.2%,94.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,29.6%,50.3%,65.7%,79.9%,85.5%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,24.9%,45.3%,61.1%,71.9%,81.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,33.6%,58.0%,78.8%,89.2%,93.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,46.8%,77.5%,93.6%,97.1%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,62.9%,94.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,80.2%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,35.6%,59.3%,77.4%,89.8%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,53.3%,86.7%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
