Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
2014-06-01,6/1/2014,7/1/2014,32.0%,59.1%,67.0%,81.4%,89.7%,93.9%,96.0%,97.3%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-07-01,7/1/2014,8/1/2014,18.9%,35.1%,44.5%,57.8%,74.0%,81.8%,87.5%,91.6%,94.3%,98.6%,100.0%,100.0%,100.0%,100.0%
2014-08-01,8/1/2014,9/1/2014,15.7%,27.5%,37.9%,50.2%,69.1%,80.4%,86.2%,89.8%,92.4%,97.7%,100.0%,100.0%,100.0%,100.0%
2014-09-01,9/1/2014,10/1/2014,18.4%,26.1%,33.4%,44.9%,62.7%,73.2%,80.8%,86.2%,90.0%,97.6%,100.0%,100.0%,100.0%,100.0%
2014-10-01,10/1/2014,11/1/2014,10.6%,19.2%,27.1%,41.3%,64.7%,78.4%,86.2%,91.2%,93.9%,98.3%,100.0%,100.0%,100.0%,100.0%
2014-11-01,11/1/2014,12/1/2014,11.6%,19.9%,27.7%,38.3%,59.3%,72.7%,80.2%,85.4%,89.3%,96.7%,100.0%,100.0%,100.0%,100.0%
2014-12-01,12/1/2014,1/1/2015,12.6%,19.7%,24.2%,32.4%,50.5%,63.4%,73.2%,79.9%,84.6%,95.0%,100.0%,100.0%,100.0%,100.0%
2015-01-01,1/1/2015,2/1/2015,16.9%,29.6%,41.7%,59.0%,88.7%,97.0%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-02-01,2/1/2015,3/1/2015,11.5%,22.5%,31.5%,44.9%,71.1%,86.8%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-03-01,3/1/2015,4/1/2015,17.6%,29.2%,35.5%,45.8%,65.6%,80.3%,90.1%,95.5%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-04-01,4/1/2015,5/1/2015,10.1%,18.5%,26.2%,38.9%,60.8%,76.1%,87.8%,95.3%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-05-01,5/1/2015,6/1/2015,14.3%,26.0%,34.5%,45.3%,64.8%,78.7%,87.5%,94.0%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-06-01,6/1/2015,7/1/2015,13.2%,24.8%,35.0%,52.4%,81.3%,95.3%,98.5%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-07-01,7/1/2015,8/1/2015,15.0%,27.0%,38.2%,53.8%,81.4%,94.6%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-08-01,8/1/2015,9/1/2015,8.2%,16.1%,22.9%,35.7%,63.6%,84.5%,95.4%,98.6%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%
