Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
11/2014,11/1/2014,12/1/2014,28.6%,57.1%,71.4%,85.7%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,16.7%,25.0%,32.9%,38.8%,43.8%,64.5%,76.2%,82.9%,87.4%,90.2%,96.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,39.2%,61.0%,71.2%,81.1%,85.5%,92.7%,95.9%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,29.0%,45.6%,60.2%,73.4%,79.9%,92.3%,97.3%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,37.1%,58.0%,68.9%,78.4%,82.1%,93.3%,96.8%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,49.4%,58.4%,66.8%,71.8%,76.5%,89.1%,93.6%,96.1%,97.5%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,34.1%,54.5%,63.4%,71.7%,76.6%,87.2%,92.1%,95.5%,97.6%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,25.3%,47.5%,69.4%,82.8%,86.9%,94.9%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,49.0%,59.0%,66.1%,71.4%,76.1%,89.7%,93.8%,96.5%,97.9%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,27.0%,45.7%,61.3%,72.1%,78.2%,90.8%,94.5%,96.9%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,37.9%,53.5%,61.1%,67.3%,72.0%,87.6%,92.6%,95.3%,97.8%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,28.1%,52.4%,65.6%,76.0%,81.0%,94.4%,97.2%,98.5%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,26.0%,47.6%,58.6%,68.8%,75.7%,89.7%,93.5%,95.9%,97.6%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,23.5%,41.8%,57.1%,72.0%,77.6%,89.9%,93.7%,95.5%,97.4%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,28.4%,44.0%,59.2%,69.5%,77.0%,87.9%,93.4%,96.3%,97.7%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,23.3%,44.9%,64.5%,70.3%,73.3%,80.6%,85.3%,88.5%,90.8%,92.9%,97.5%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,34.4%,52.9%,65.6%,75.0%,79.3%,85.5%,90.2%,93.1%,94.9%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,26.5%,48.4%,60.8%,68.1%,75.4%,88.3%,92.7%,95.5%,97.2%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,22.4%,40.3%,52.7%,63.5%,71.2%,83.8%,88.5%,91.7%,93.8%,95.5%,99.8%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,26.7%,38.7%,47.9%,56.5%,63.2%,81.0%,87.0%,90.2%,93.0%,94.6%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,28.7%,40.4%,47.2%,53.9%,60.1%,80.6%,88.5%,92.4%,94.9%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,35.4%,47.7%,57.1%,62.0%,66.0%,81.1%,86.9%,90.9%,93.4%,94.9%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,35.8%,49.8%,60.1%,68.3%,72.0%,83.8%,88.2%,91.9%,93.7%,95.6%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,25.8%,50.0%,64.6%,74.7%,77.3%,83.8%,88.9%,91.9%,94.4%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,44.4%,70.8%,76.3%,81.3%,85.2%,91.4%,94.6%,96.5%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,21.9%,43.2%,61.3%,70.3%,78.1%,86.5%,92.9%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,40.2%,56.4%,63.7%,70.9%,74.9%,85.5%,91.1%,94.4%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
