Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
06/2014,6/1/2014,7/1/2014,84.6%,90.2%,92.0%,93.1%,94.1%,95.9%,96.7%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
07/2014,7/1/2014,8/1/2014,67.0%,89.0%,90.9%,91.9%,92.9%,95.0%,95.5%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
08/2014,8/1/2014,9/1/2014,60.8%,91.8%,92.6%,93.4%,93.8%,95.1%,95.7%,96.1%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
09/2014,9/1/2014,10/1/2014,65.2%,87.2%,89.3%,91.1%,92.0%,94.1%,94.8%,95.2%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
10/2014,10/1/2014,11/1/2014,70.0%,91.4%,93.5%,94.6%,95.3%,96.9%,97.6%,97.8%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
11/2014,11/1/2014,12/1/2014,68.6%,87.0%,89.4%,90.3%,91.0%,93.3%,94.3%,95.0%,95.4%,95.7%,96.0%,96.0%,96.0%,96.0%,96.0%
12/2014,12/1/2014,1/1/2015,62.4%,82.0%,84.2%,85.6%,87.0%,90.9%,92.5%,93.5%,94.0%,94.4%,94.6%,94.6%,94.6%,94.6%,94.6%
01/2015,1/1/2015,2/1/2015,80.4%,90.8%,91.7%,92.3%,92.7%,93.6%,94.3%,94.8%,95.1%,95.4%,95.7%,95.7%,95.7%,95.7%,95.7%
02/2015,2/1/2015,3/1/2015,75.8%,87.5%,91.5%,92.4%,92.9%,94.3%,95.0%,95.6%,96.0%,96.3%,96.8%,96.8%,96.8%,96.8%,96.8%
03/2015,3/1/2015,4/1/2015,77.0%,87.7%,90.2%,91.7%,92.6%,94.1%,95.0%,95.6%,96.0%,96.2%,96.7%,96.7%,96.7%,96.7%,96.7%
04/2015,4/1/2015,5/1/2015,71.0%,86.1%,89.1%,90.1%,90.6%,92.1%,93.0%,93.6%,94.1%,94.4%,95.2%,95.3%,95.3%,95.3%,95.3%
05/2015,5/1/2015,6/1/2015,70.8%,84.5%,86.7%,88.6%,90.2%,92.0%,93.0%,93.6%,94.0%,94.3%,95.1%,95.6%,95.6%,95.6%,95.6%
06/2015,6/1/2015,7/1/2015,74.7%,81.0%,84.0%,86.3%,88.1%,90.9%,91.9%,92.6%,93.2%,93.6%,94.3%,94.7%,94.7%,94.7%,94.7%
07/2015,7/1/2015,8/1/2015,80.8%,85.1%,86.8%,87.7%,88.6%,91.1%,91.9%,92.4%,92.7%,93.0%,93.9%,94.6%,94.6%,94.6%,94.6%
08/2015,8/1/2015,9/1/2015,66.1%,75.4%,78.4%,80.9%,82.4%,85.8%,87.0%,87.8%,88.6%,89.2%,90.8%,92.5%,92.5%,92.5%,92.5%
09/2015,9/1/2015,10/1/2015,61.2%,73.0%,78.5%,83.1%,84.9%,87.6%,88.6%,89.3%,89.8%,90.3%,91.5%,92.8%,92.8%,92.8%,92.8%
10/2015,10/1/2015,11/1/2015,65.3%,76.8%,81.4%,84.1%,86.3%,89.7%,90.9%,91.5%,92.1%,92.4%,93.3%,93.8%,93.8%,93.8%,93.8%
11/2015,11/1/2015,12/1/2015,58.5%,71.3%,74.4%,76.9%,78.6%,82.8%,84.5%,85.6%,86.2%,86.7%,88.1%,89.4%,89.4%,89.4%,89.4%
12/2015,12/1/2015,1/1/2016,65.9%,76.5%,78.9%,80.9%,82.4%,85.4%,86.4%,87.1%,87.8%,88.3%,89.5%,90.6%,90.6%,90.6%,90.6%
01/2016,1/1/2016,2/1/2016,66.2%,76.0%,77.9%,79.6%,81.0%,84.9%,86.7%,87.7%,88.5%,89.1%,90.5%,91.8%,91.8%,91.8%,91.8%
02/2016,2/1/2016,3/1/2016,64.4%,74.4%,77.8%,80.0%,81.1%,84.7%,86.0%,86.7%,87.2%,87.6%,88.8%,89.9%,89.9%,89.9%,89.9%
03/2016,3/1/2016,4/1/2016,54.7%,64.3%,72.1%,75.2%,77.2%,81.4%,83.2%,84.2%,84.9%,85.4%,86.8%,88.4%,88.8%,88.8%,88.8%
04/2016,4/1/2016,5/1/2016,52.3%,66.0%,69.0%,71.4%,72.4%,75.8%,77.6%,78.8%,79.9%,80.7%,83.0%,85.2%,85.7%,85.7%,85.7%
05/2016,5/1/2016,6/1/2016,56.5%,67.5%,75.0%,76.7%,78.3%,81.3%,82.8%,83.9%,84.6%,85.3%,86.8%,88.4%,89.3%,89.3%,89.3%
