Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,3/18/2016,2/27/2017,84.9%,93.2%,95.1%,95.9%,96.5%,97.1%,97.3%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
Since joining CNCF,2/27/2017,4/17/2018,69.7%,91.6%,92.2%,92.5%,92.8%,93.9%,94.4%,94.7%,94.9%,95.0%,95.2%,95.2%,95.2%,95.2%,95.2%
2016,3/18/2016,1/1/2017,87.4%,93.3%,95.4%,96.4%,97.0%,97.6%,97.9%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
2017,1/1/2017,1/1/2018,73.5%,92.0%,92.3%,92.7%,93.0%,94.2%,94.7%,95.1%,95.4%,95.5%,95.7%,95.7%,95.7%,95.7%,95.7%
2018,1/1/2018,4/17/2018,61.4%,91.1%,92.7%,93.0%,93.2%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
03/2016,3/1/2016,4/1/2016,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
04/2016,4/1/2016,5/1/2016,99.2%,99.5%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,87.5%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
07/2016,7/1/2016,8/1/2016,71.4%,93.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
08/2016,8/1/2016,9/1/2016,78.2%,87.6%,94.1%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
09/2016,9/1/2016,10/1/2016,80.6%,89.1%,95.7%,97.2%,97.6%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
10/2016,10/1/2016,11/1/2016,84.6%,94.0%,96.1%,97.2%,97.9%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
11/2016,11/1/2016,12/1/2016,79.0%,90.9%,97.2%,97.6%,98.0%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
12/2016,12/1/2016,1/1/2017,64.1%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
01/2017,1/1/2017,2/1/2017,67.0%,91.3%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%
02/2017,2/1/2017,3/1/2017,71.9%,92.8%,93.6%,94.5%,94.9%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
03/2017,3/1/2017,4/1/2017,74.6%,86.7%,90.8%,93.1%,94.8%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
04/2017,4/1/2017,5/1/2017,53.1%,86.9%,89.0%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
05/2017,5/1/2017,6/1/2017,62.7%,89.1%,91.8%,92.7%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
