Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,91.0%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
Quarter from 04/2014,4/1/2014,7/1/2014,75.5%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
Quarter from 07/2014,7/1/2014,10/1/2014,53.4%,93.5%,94.1%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
Quarter from 10/2014,10/1/2014,1/1/2015,46.5%,92.9%,93.5%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 01/2015,1/1/2015,4/1/2015,55.8%,96.1%,97.8%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%
Quarter from 04/2015,4/1/2015,7/1/2015,56.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
Quarter from 07/2015,7/1/2015,10/1/2015,60.9%,96.7%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
Quarter from 10/2015,10/1/2015,1/1/2016,55.6%,96.4%,97.0%,97.2%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%
Quarter from 01/2016,1/1/2016,4/1/2016,50.5%,88.0%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%
Quarter from 04/2016,4/1/2016,7/1/2016,60.3%,87.9%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%
Quarter from 07/2016,7/1/2016,10/1/2016,67.4%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
Quarter from 10/2016,10/1/2016,1/1/2017,44.9%,85.6%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
Quarter from 01/2017,1/1/2017,4/1/2017,44.9%,84.1%,84.8%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%
Quarter from 04/2017,4/1/2017,7/1/2017,52.8%,82.3%,82.7%,82.8%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
Quarter from 07/2017,7/1/2017,10/1/2017,47.6%,72.6%,75.8%,76.9%,77.0%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%
Quarter from 10/2017,10/1/2017,1/1/2018,70.8%,77.7%,79.3%,80.8%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
Quarter from 01/2018,1/1/2018,4/1/2018,39.1%,51.7%,62.1%,68.4%,71.5%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%
Quarter from 04/2018,4/1/2018,7/1/2018,43.1%,67.2%,71.6%,73.3%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%
