Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
01/2014,1/1/2014,2/1/2014,32.8%,48.6%,60.8%,75.7%,85.8%,90.6%,93.7%,95.8%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,19.2%,35.9%,48.5%,65.8%,83.1%,91.1%,94.8%,96.7%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,22.7%,41.0%,54.1%,67.0%,82.0%,89.2%,92.5%,95.1%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,19.9%,38.1%,52.7%,68.4%,81.6%,89.2%,92.5%,95.1%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,28.7%,51.6%,58.2%,66.4%,79.5%,86.6%,90.2%,92.9%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,22.1%,42.5%,49.2%,61.1%,77.4%,82.7%,86.3%,89.0%,90.9%,95.9%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,16.3%,30.8%,39.3%,48.9%,60.3%,69.0%,75.5%,79.9%,83.6%,91.7%,98.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,13.7%,25.6%,34.5%,44.2%,60.6%,68.9%,75.7%,80.7%,84.1%,91.6%,97.6%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,15.2%,22.6%,29.5%,40.5%,54.7%,64.3%,71.3%,76.9%,81.3%,90.5%,97.8%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,8.7%,16.3%,23.5%,35.1%,54.5%,66.8%,75.8%,80.9%,84.5%,92.4%,97.9%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,9.0%,16.4%,22.3%,32.9%,49.0%,60.7%,69.1%,74.5%,78.8%,88.3%,96.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,8.8%,14.6%,18.7%,26.0%,38.8%,47.6%,55.1%,61.4%,66.3%,80.3%,92.5%,98.3%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,8.2%,14.6%,19.8%,28.7%,46.4%,60.3%,70.3%,76.2%,80.0%,89.2%,95.7%,99.4%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,8.4%,13.0%,17.3%,25.4%,38.1%,48.1%,55.9%,62.1%,67.4%,79.4%,90.6%,97.2%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,6.2%,10.4%,14.0%,19.7%,31.5%,41.6%,50.0%,57.0%,62.4%,76.8%,90.7%,96.9%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,3.1%,5.9%,8.8%,14.2%,25.4%,34.2%,42.0%,49.0%,54.6%,71.7%,88.7%,95.6%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,4.1%,8.2%,12.1%,19.7%,32.1%,40.4%,47.2%,53.2%,58.5%,74.3%,89.7%,95.9%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,4.9%,8.7%,12.4%,19.1%,31.2%,40.7%,47.9%,53.9%,59.1%,74.4%,88.5%,95.2%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,5.2%,10.2%,14.0%,20.9%,32.6%,41.6%,49.2%,55.1%,60.4%,74.5%,87.8%,94.6%,99.9%,100.0%
08/2015,8/1/2015,9/1/2015,3.6%,6.0%,8.4%,12.8%,22.3%,30.9%,38.9%,45.5%,51.3%,68.4%,84.3%,92.4%,98.8%,100.0%
09/2015,9/1/2015,10/1/2015,3.6%,7.0%,10.3%,15.3%,25.6%,33.4%,40.3%,46.6%,51.6%,66.5%,83.9%,92.3%,98.6%,100.0%
10/2015,10/1/2015,11/1/2015,2.8%,5.3%,7.6%,12.0%,21.9%,30.0%,36.7%,43.0%,48.6%,65.6%,84.4%,92.8%,98.8%,100.0%
11/2015,11/1/2015,12/1/2015,3.1%,5.3%,7.6%,11.6%,20.1%,27.3%,34.0%,39.9%,45.4%,60.5%,78.9%,90.1%,98.2%,100.0%
12/2015,12/1/2015,1/1/2016,3.7%,7.3%,10.4%,15.5%,25.7%,33.0%,38.6%,43.7%,48.0%,62.2%,80.7%,90.9%,98.3%,100.0%
01/2016,1/1/2016,2/1/2016,3.6%,6.2%,8.5%,12.9%,22.4%,30.3%,37.1%,42.9%,47.5%,61.7%,80.7%,90.8%,97.8%,100.0%
02/2016,2/1/2016,3/1/2016,2.8%,5.2%,7.4%,11.2%,20.0%,27.1%,33.1%,38.4%,43.3%,58.4%,78.5%,90.3%,97.6%,100.0%
03/2016,3/1/2016,4/1/2016,4.1%,7.9%,10.2%,14.6%,23.3%,29.3%,34.3%,39.1%,43.6%,57.4%,76.1%,87.9%,96.3%,100.0%
