Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/2/2014,3/15/2018,81.8%,85.3%,85.5%,85.7%,85.8%,86.0%,86.1%,86.2%,86.2%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
Since joining CNCF,3/15/2018,4/17/2018,89.2%,90.5%,90.8%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
2014,1/2/2014,1/1/2015,66.0%,72.2%,77.2%,81.1%,81.9%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%
2015,1/1/2015,1/1/2016,84.8%,85.8%,86.1%,86.2%,86.4%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%
2016,1/1/2016,1/1/2017,86.1%,86.2%,86.3%,86.4%,86.4%,86.6%,86.7%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%,86.8%
2017,1/1/2017,1/1/2018,75.2%,85.2%,85.3%,85.4%,85.4%,85.6%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%
2018,1/1/2018,4/17/2018,87.2%,87.7%,87.9%,88.0%,88.1%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
01/2014,1/1/2014,2/1/2014,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
02/2014,2/1/2014,3/1/2014,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
03/2014,3/1/2014,4/1/2014,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
