Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
11/2014,11/1/2014,12/1/2014,,,,,,,,,,,,,,,
12/2014,12/1/2014,1/1/2015,23.8%,32.8%,38.8%,44.4%,48.8%,56.3%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%
01/2015,1/1/2015,2/1/2015,69.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
02/2015,2/1/2015,3/1/2015,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%,83.1%
03/2015,3/1/2015,4/1/2015,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%
04/2015,4/1/2015,5/1/2015,78.4%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
05/2015,5/1/2015,6/1/2015,69.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,50.0%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
07/2015,7/1/2015,8/1/2015,88.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,69.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,66.3%,97.6%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%
10/2015,10/1/2015,11/1/2015,58.9%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
11/2015,11/1/2015,12/1/2015,78.0%,96.6%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
12/2015,12/1/2015,1/1/2016,60.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,70.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,65.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,78.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,65.1%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%
05/2016,5/1/2016,6/1/2016,45.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
06/2016,6/1/2016,7/1/2016,69.1%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
07/2016,7/1/2016,8/1/2016,59.7%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
08/2016,8/1/2016,9/1/2016,74.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,92.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%
06/2017,6/1/2017,7/1/2017,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%
07/2017,7/1/2017,8/1/2017,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
08/2017,8/1/2017,9/1/2017,80.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
09/2017,9/1/2017,10/1/2017,76.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
