Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,1/2/2014,2/5/2018,24.2%,45.8%,57.7%,69.0%,72.8%,85.8%,89.7%,92.6%,94.4%,95.6%,97.6%,98.9%,99.8%,100.0%,100.0%
Since joining CNCF,2/5/2018,4/17/2018,25.6%,43.6%,54.3%,63.7%,72.6%,84.2%,90.2%,94.8%,96.9%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,1/2/2014,1/1/2015,37.4%,60.7%,71.7%,80.9%,84.0%,93.4%,97.3%,98.0%,98.5%,98.9%,99.8%,100.0%,100.0%,100.0%,100.0%
2015,1/1/2015,1/1/2016,27.6%,42.2%,54.5%,65.0%,75.0%,95.0%,98.3%,98.9%,99.2%,99.4%,99.9%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,18.8%,37.4%,53.9%,69.1%,74.8%,89.4%,93.7%,96.3%,97.6%,98.3%,99.4%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,39.7%,60.5%,72.5%,77.1%,79.9%,88.4%,92.9%,94.9%,96.1%,97.1%,99.1%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,19.3%,33.3%,45.8%,56.3%,65.8%,84.8%,90.1%,93.8%,95.7%,97.0%,99.9%,100.0%,100.0%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,63.8%,94.5%,97.0%,98.3%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,53.1%,88.0%,92.6%,96.0%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,56.4%,89.1%,96.2%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,42.9%,77.5%,84.8%,91.6%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,63.6%,78.2%,84.2%,89.7%,93.3%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,49.7%,71.2%,79.1%,83.8%,88.5%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,25.0%,47.5%,69.1%,84.3%,88.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,41.3%,69.4%,87.2%,92.3%,96.6%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,39.1%,59.3%,73.8%,85.8%,94.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,31.1%,51.6%,67.4%,81.2%,86.7%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,32.8%,57.0%,74.9%,79.6%,83.8%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,25.1%,45.5%,59.3%,71.0%,81.0%,97.9%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,28.0%,53.4%,65.5%,74.8%,82.3%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,26.9%,44.9%,60.2%,69.4%,78.2%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,33.0%,47.9%,59.4%,70.9%,77.3%,95.8%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,32.5%,53.2%,65.9%,75.4%,81.8%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,56.7%,69.5%,79.8%,90.1%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,37.7%,58.8%,73.5%,85.2%,91.8%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,25.3%,47.5%,63.5%,77.5%,90.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,22.8%,41.9%,57.0%,68.8%,78.1%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,22.2%,36.8%,51.5%,64.0%,73.7%,95.3%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,23.1%,42.0%,57.3%,72.0%,81.3%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,24.4%,47.9%,69.5%,83.8%,90.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,24.3%,48.1%,66.8%,82.7%,92.1%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,25.9%,44.6%,62.9%,76.3%,83.0%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
