Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,1/2/2014,3/15/2018,25.4%,39.5%,52.2%,63.2%,68.9%,85.6%,87.3%,88.3%,89.0%,89.5%,90.9%,93.0%,95.5%,99.1%,100.0%
Since joining CNCF,3/15/2018,4/17/2018,36.4%,57.6%,70.1%,80.0%,89.2%,92.9%,94.8%,96.1%,97.0%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,1/2/2014,1/1/2015,61.0%,67.2%,72.2%,76.1%,79.9%,88.4%,92.7%,95.4%,97.3%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
2015,1/1/2015,1/1/2016,37.9%,53.3%,63.1%,71.5%,78.4%,87.4%,89.7%,91.2%,92.5%,93.6%,96.8%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,22.2%,42.6%,57.1%,69.2%,76.2%,88.9%,90.7%,91.6%,92.2%,92.7%,94.4%,96.8%,99.1%,100.0%,100.0%
2017,1/1/2017,1/1/2018,34.6%,45.7%,55.6%,63.6%,68.2%,85.5%,87.0%,88.0%,88.7%,89.3%,91.1%,94.3%,97.7%,100.0%,100.0%
2018,1/1/2018,4/17/2018,38.7%,55.6%,70.4%,83.1%,87.1%,89.6%,91.1%,92.1%,92.8%,93.6%,96.1%,99.7%,100.0%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,50.0%,80.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,81.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,72.2%,88.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,53.8%,84.6%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,59.5%,83.8%,89.2%,94.6%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,45.8%,62.5%,75.0%,87.5%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,63.9%,83.3%,88.9%,91.7%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,51.3%,66.7%,79.5%,92.3%,94.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,66.7%,76.2%,83.3%,90.5%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,85.7%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,81.2%,87.5%,93.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,40.0%,72.0%,84.0%,88.0%,92.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,45.8%,70.8%,79.2%,87.5%,91.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,42.9%,57.1%,71.4%,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,91.3%,97.1%,98.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,60.0%,70.0%,80.0%,85.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,72.8%,81.5%,84.1%,86.8%,88.7%,95.4%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,57.2%,73.9%,80.4%,83.3%,86.2%,92.0%,95.7%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,36.0%,59.0%,77.5%,87.4%,89.2%,94.6%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,27.3%,50.3%,70.3%,81.8%,86.1%,93.6%,96.7%,98.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,30.5%,50.6%,62.6%,73.6%,82.2%,96.3%,98.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,27.8%,41.1%,53.6%,65.9%,77.5%,94.0%,96.5%,97.7%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,22.6%,38.3%,52.6%,64.0%,74.1%,96.1%,97.7%,98.8%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,21.5%,40.7%,57.1%,70.5%,81.8%,93.5%,96.7%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,31.8%,51.0%,65.5%,76.4%,87.1%,94.0%,96.7%,98.1%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,24.2%,45.3%,64.4%,73.8%,82.9%,90.0%,92.9%,94.9%,96.3%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,21.4%,38.8%,55.2%,64.1%,72.6%,85.8%,90.0%,92.9%,94.7%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,38.0%,47.3%,55.8%,64.3%,71.7%,90.9%,94.3%,95.8%,97.2%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,41.0%,58.4%,71.9%,78.1%,83.5%,94.6%,96.4%,97.6%,98.2%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,30.2%,51.9%,69.1%,76.8%,83.0%,89.5%,92.3%,94.8%,96.0%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,37.7%,60.9%,71.1%,76.0%,79.8%,91.2%,94.5%,96.7%,97.8%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%
