Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,1/1/2014,3/10/2016,49.3%,58.1%,66.6%,74.2%,79.9%,89.1%,92.3%,94.0%,94.8%,95.3%,96.4%,97.0%,97.1%,97.1%,97.1%
Since joining CNCF,3/10/2016,4/13/2018,31.0%,38.2%,43.4%,48.1%,52.9%,68.5%,75.4%,79.8%,82.6%,84.6%,89.7%,91.9%,91.9%,91.9%,91.9%
2014,1/1/2014,1/1/2015,47.4%,64.1%,76.5%,83.4%,84.5%,88.7%,90.4%,91.5%,92.2%,92.9%,94.1%,94.7%,94.8%,94.8%,94.8%
2015,1/1/2015,1/1/2016,53.1%,68.0%,73.7%,78.8%,83.0%,93.4%,97.0%,98.1%,98.5%,98.7%,98.9%,98.9%,98.9%,98.9%,98.9%
2016,1/1/2016,1/1/2017,37.6%,45.1%,52.0%,58.4%,63.8%,78.7%,85.1%,89.6%,92.2%,93.5%,95.3%,95.5%,95.5%,95.5%,95.5%
2017,1/1/2017,1/1/2018,30.5%,38.1%,45.0%,49.4%,53.7%,66.9%,74.3%,78.5%,81.6%,84.1%,89.3%,91.1%,91.1%,91.1%,91.1%
2018,1/1/2018,4/13/2018,20.7%,34.8%,41.1%,46.4%,51.1%,64.6%,72.0%,76.6%,79.8%,82.0%,86.7%,88.5%,88.5%,88.5%,88.5%
01/2014,1/1/2014,2/1/2014,62.0%,78.5%,89.4%,92.7%,95.0%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
02/2014,2/1/2014,3/1/2014,40.9%,80.2%,85.7%,89.6%,92.7%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
03/2014,3/1/2014,4/1/2014,53.9%,74.0%,81.0%,87.2%,91.1%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
04/2014,4/1/2014,5/1/2014,50.4%,74.3%,82.6%,89.9%,93.1%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
05/2014,5/1/2014,6/1/2014,52.8%,78.5%,88.8%,91.8%,94.4%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
06/2014,6/1/2014,7/1/2014,61.4%,74.9%,83.1%,88.3%,90.6%,94.7%,96.0%,96.5%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
07/2014,7/1/2014,8/1/2014,58.8%,78.2%,84.1%,87.8%,89.1%,94.0%,96.0%,96.5%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%
08/2014,8/1/2014,9/1/2014,48.2%,75.8%,83.8%,89.9%,91.5%,94.3%,95.2%,95.7%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
