Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
06/2015,6/1/2015,7/1/2015,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
07/2015,7/1/2015,8/1/2015,95.8%,98.0%,99.5%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
08/2015,8/1/2015,9/1/2015,86.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,47.1%,58.8%,70.6%,76.5%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%
10/2015,10/1/2015,11/1/2015,83.8%,88.4%,91.9%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
11/2015,11/1/2015,12/1/2015,92.5%,95.3%,97.7%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
12/2015,12/1/2015,1/1/2016,89.8%,96.4%,97.4%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
01/2016,1/1/2016,2/1/2016,89.7%,94.1%,97.8%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
02/2016,2/1/2016,3/1/2016,97.0%,98.8%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
03/2016,3/1/2016,4/1/2016,95.2%,97.8%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
04/2016,4/1/2016,5/1/2016,97.4%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
05/2016,5/1/2016,6/1/2016,89.8%,92.8%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
06/2016,6/1/2016,7/1/2016,82.6%,86.4%,88.6%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%
07/2016,7/1/2016,8/1/2016,82.3%,88.4%,88.9%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%
08/2016,8/1/2016,9/1/2016,83.7%,89.3%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%
09/2016,9/1/2016,10/1/2016,86.3%,90.7%,92.3%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%
10/2016,10/1/2016,11/1/2016,67.0%,91.3%,92.2%,93.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
11/2016,11/1/2016,12/1/2016,88.7%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
12/2016,12/1/2016,1/1/2017,53.8%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%,61.5%
01/2017,1/1/2017,2/1/2017,48.1%,59.3%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%,70.4%
02/2017,2/1/2017,3/1/2017,75.6%,85.4%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
03/2017,3/1/2017,4/1/2017,80.0%,84.0%,86.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%
04/2017,4/1/2017,5/1/2017,55.6%,69.4%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%
05/2017,5/1/2017,6/1/2017,60.0%,65.0%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%
06/2017,6/1/2017,7/1/2017,41.7%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
07/2017,7/1/2017,8/1/2017,73.8%,76.2%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%
08/2017,8/1/2017,9/1/2017,70.8%,75.0%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%,77.1%
09/2017,9/1/2017,10/1/2017,80.8%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
10/2017,10/1/2017,11/1/2017,59.3%,64.8%,68.5%,70.4%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%
11/2017,11/1/2017,12/1/2017,65.2%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%
12/2017,12/1/2017,1/1/2018,27.6%,37.9%,44.8%,51.7%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%,55.2%
01/2018,1/1/2018,2/1/2018,23.5%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%,29.4%
02/2018,2/1/2018,3/1/2018,85.0%,90.0%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%
03/2018,3/1/2018,4/1/2018,57.5%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
04/2018,4/1/2018,5/1/2018,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
