Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,69.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,53.0%,90.0%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,60.0%,73.7%,86.3%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
03/2016,3/1/2016,4/1/2016,55.0%,76.3%,84.0%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
04/2016,4/1/2016,5/1/2016,80.6%,87.1%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
05/2016,5/1/2016,6/1/2016,75.0%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,68.4%,92.1%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,78.6%,96.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,52.5%,80.0%,91.7%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,66.7%,77.2%,83.7%,89.4%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,46.7%,68.2%,74.8%,80.4%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%,82.2%
11/2016,11/1/2016,12/1/2016,33.3%,48.6%,59.7%,70.8%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%
12/2016,12/1/2016,1/1/2017,51.1%,63.8%,76.6%,80.9%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%
01/2017,1/1/2017,2/1/2017,33.3%,58.3%,72.2%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%,80.6%
02/2017,2/1/2017,3/1/2017,76.8%,87.5%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
03/2017,3/1/2017,4/1/2017,38.9%,52.8%,66.7%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%,72.2%
04/2017,4/1/2017,5/1/2017,43.8%,66.7%,79.2%,87.5%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
05/2017,5/1/2017,6/1/2017,42.0%,66.0%,82.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
06/2017,6/1/2017,7/1/2017,45.0%,60.0%,70.0%,80.0%,85.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
07/2017,7/1/2017,8/1/2017,54.2%,83.3%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
08/2017,8/1/2017,9/1/2017,55.6%,66.7%,77.8%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
09/2017,9/1/2017,10/1/2017,21.6%,43.2%,59.5%,75.7%,89.2%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
10/2017,10/1/2017,11/1/2017,33.3%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%
11/2017,11/1/2017,12/1/2017,47.6%,71.4%,73.8%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%
12/2017,12/1/2017,1/1/2018,76.5%,85.3%,92.6%,95.6%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
01/2018,1/1/2018,2/1/2018,20.8%,37.7%,50.9%,60.4%,64.2%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%
02/2018,2/1/2018,3/1/2018,39.0%,50.6%,62.3%,71.4%,80.5%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
03/2018,3/1/2018,4/1/2018,19.1%,38.3%,57.4%,66.0%,71.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
04/2018,4/1/2018,5/1/2018,22.6%,43.4%,56.6%,67.9%,73.6%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%
