Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,1/2/2014,11/8/2016,32.3%,50.6%,68.6%,74.6%,80.2%,91.2%,95.1%,98.1%,99.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,11/8/2016,4/17/2018,37.8%,72.5%,84.3%,90.4%,93.0%,98.2%,99.4%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,1/2/2014,1/1/2015,40.1%,53.3%,65.8%,76.2%,82.2%,94.0%,97.8%,99.4%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015,1/1/2015,1/1/2016,32.3%,59.8%,67.8%,74.7%,80.8%,93.1%,97.0%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,36.5%,63.3%,88.3%,91.2%,93.2%,98.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,41.4%,75.6%,86.0%,93.3%,95.8%,98.5%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,42.7%,78.2%,87.6%,92.4%,97.0%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,32.1%,50.0%,66.7%,76.9%,87.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,26.3%,50.0%,68.4%,77.4%,83.7%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,48.8%,71.2%,80.0%,86.2%,91.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,75.7%,82.9%,87.1%,91.4%,94.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,53.8%,73.8%,90.8%,95.4%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,68.6%,83.7%,89.5%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,47.5%,59.0%,68.9%,78.7%,85.2%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,43.1%,66.1%,85.3%,91.7%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,33.3%,50.0%,64.6%,79.2%,89.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,41.0%,65.8%,75.2%,82.9%,89.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,34.2%,57.6%,79.1%,93.0%,95.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,38.1%,62.4%,77.9%,91.2%,95.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,30.8%,54.5%,71.3%,79.0%,86.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,35.6%,59.6%,74.0%,81.7%,87.5%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
