Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,11/1/2016,9/13/2017,68.9%,70.6%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%,70.8%
Since joining CNCF,9/13/2017,4/17/2018,64.7%,68.9%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%
2016,11/1/2016,1/1/2017,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%
2017,1/1/2017,1/1/2018,61.1%,62.5%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%
2018,1/1/2018,4/17/2018,77.2%,85.6%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%,87.2%
11/2016,11/1/2016,12/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
01/2017,1/1/2017,2/1/2017,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%
02/2017,2/1/2017,3/1/2017,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%
03/2017,3/1/2017,4/1/2017,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%
04/2017,4/1/2017,5/1/2017,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
05/2017,5/1/2017,6/1/2017,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%
06/2017,6/1/2017,7/1/2017,60.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%
07/2017,7/1/2017,8/1/2017,32.2%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%,36.8%
08/2017,8/1/2017,9/1/2017,48.8%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%,52.4%
