Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
09/2016,9/1/2016,10/1/2016,71.7%,72.6%,73.1%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%
10/2016,10/1/2016,11/1/2016,54.3%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%,57.2%
11/2016,11/1/2016,12/1/2016,82.7%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
12/2016,12/1/2016,1/1/2017,76.8%,79.3%,80.8%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
01/2017,1/1/2017,2/1/2017,69.8%,73.6%,76.0%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%,76.8%
02/2017,2/1/2017,3/1/2017,73.3%,76.9%,77.4%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%
03/2017,3/1/2017,4/1/2017,75.4%,85.7%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%
04/2017,4/1/2017,5/1/2017,75.4%,90.0%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
05/2017,5/1/2017,6/1/2017,60.5%,83.2%,83.9%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%
06/2017,6/1/2017,7/1/2017,65.2%,84.9%,85.2%,85.5%,85.7%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
07/2017,7/1/2017,8/1/2017,62.2%,90.6%,91.1%,91.6%,91.9%,92.2%,92.2%,92.2%,92.2%,92.2%,92.2%,92.2%,92.2%,92.2%,92.2%
08/2017,8/1/2017,9/1/2017,60.9%,83.0%,84.9%,86.2%,86.9%,88.3%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%
09/2017,9/1/2017,10/1/2017,58.5%,79.4%,81.7%,83.8%,85.3%,89.0%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
10/2017,10/1/2017,11/1/2017,56.6%,81.2%,85.9%,87.4%,88.9%,92.4%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%,92.8%
11/2017,11/1/2017,12/1/2017,61.4%,82.6%,85.3%,87.0%,87.9%,90.4%,91.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
12/2017,12/1/2017,1/1/2018,54.1%,80.3%,84.4%,86.4%,87.9%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%
01/2018,1/1/2018,2/1/2018,45.7%,74.9%,78.7%,79.9%,80.9%,82.9%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
02/2018,2/1/2018,3/1/2018,35.8%,68.6%,75.3%,78.3%,79.5%,81.9%,82.6%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%
03/2018,3/1/2018,4/1/2018,36.3%,65.1%,69.7%,72.6%,75.4%,78.3%,79.3%,79.7%,80.2%,80.3%,80.3%,80.3%,80.3%,80.3%,80.3%
04/2018,4/1/2018,5/1/2018,44.2%,73.3%,76.2%,78.9%,80.1%,82.3%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%
