Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,12/17/2015,3/29/2017,71.7%,75.7%,79.6%,83.2%,85.4%,89.6%,91.7%,92.9%,93.8%,94.3%,95.0%,95.0%,95.0%,95.0%,95.0%
Since joining CNCF,3/29/2017,4/13/2018,57.5%,69.1%,79.9%,85.0%,87.3%,91.9%,93.0%,93.5%,93.8%,94.0%,94.3%,94.3%,94.3%,94.3%,94.3%
start - v0.0.5,12/17/2015,2/12/2016,73.0%,85.2%,87.3%,89.4%,91.0%,95.8%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
v0.0.5 - v0.1.0,2/12/2016,3/21/2016,82.8%,90.1%,96.0%,98.0%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
v0.1.0 - v0.2.0,3/21/2016,4/14/2016,82.0%,88.0%,92.7%,94.0%,94.7%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
v0.2.0 - v0.2.9,4/14/2016,5/30/2017,66.5%,73.5%,78.3%,83.2%,85.1%,90.2%,92.5%,93.6%,94.2%,94.7%,95.3%,95.3%,95.3%,95.3%,95.3%
v0.2.9 - v1.0.0-alpha0,5/30/2017,7/13/2017,76.4%,83.6%,87.2%,90.4%,91.4%,94.6%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%
v1.0.0-alpha0 - v1.0.0-alpha6,7/13/2017,8/23/2017,72.3%,83.9%,88.6%,91.2%,92.6%,95.5%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
v1.0.0-alpha6 - v1.0.0-beta.0,8/23/2017,9/6/2017,74.0%,84.4%,90.1%,93.8%,96.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
v1.0.0-beta.0 - v1.0.0-beta.3,9/6/2017,11/8/2017,56.9%,72.4%,79.2%,85.9%,89.0%,92.5%,93.9%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
v1.0.0-beta.3 - v1.0.0,11/8/2017,12/5/2017,63.2%,74.9%,85.2%,89.7%,92.6%,96.7%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
v1.0.0 - v1.0.1,12/5/2017,1/17/2018,45.8%,63.4%,74.4%,79.3%,82.9%,89.9%,92.3%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
v1.0.1 - v1.0.2,1/17/2018,2/13/2018,43.5%,72.4%,82.7%,86.4%,90.0%,91.7%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
v1.0.2 - v1.0.3,2/13/2018,4/2/2018,33.8%,64.9%,77.2%,82.4%,84.4%,87.2%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%
v1.0.3 - v1.1.0-rc.1,4/2/2018,4/5/2018,41.7%,75.0%,87.5%,91.7%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
v1.1.0.rc.1 - now,4/5/2018,4/13/2018,41.4%,78.6%,85.7%,90.0%,92.9%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
12/2015,12/1/2015,1/1/2016,65.5%,72.7%,80.0%,85.5%,89.1%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
01/2016,1/1/2016,2/1/2016,72.7%,90.9%,92.9%,94.9%,96.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
02/2016,2/1/2016,3/1/2016,77.7%,90.9%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,86.4%,90.1%,93.8%,94.4%,95.1%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
04/2016,4/1/2016,5/1/2016,77.9%,85.7%,87.1%,88.6%,90.0%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
05/2016,5/1/2016,6/1/2016,74.6%,77.6%,80.6%,82.1%,83.6%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
06/2016,6/1/2016,7/1/2016,79.2%,83.3%,87.5%,90.3%,91.7%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
07/2016,7/1/2016,8/1/2016,78.1%,84.4%,90.6%,93.8%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
08/2016,8/1/2016,9/1/2016,60.4%,68.8%,72.9%,77.1%,79.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
09/2016,9/1/2016,10/1/2016,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,76.6%,85.1%,87.2%,89.4%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%
11/2016,11/1/2016,12/1/2016,73.9%,89.1%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
12/2016,12/1/2016,1/1/2017,44.6%,59.8%,70.7%,77.2%,80.4%,89.1%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
01/2017,1/1/2017,2/1/2017,69.7%,81.1%,85.5%,89.0%,90.4%,93.0%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
02/2017,2/1/2017,3/1/2017,60.5%,72.7%,81.5%,85.6%,89.3%,95.6%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
03/2017,3/1/2017,4/1/2017,71.4%,76.3%,80.8%,84.5%,86.5%,93.5%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
04/2017,4/1/2017,5/1/2017,52.5%,68.6%,78.5%,82.8%,86.2%,94.6%,96.9%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
05/2017,5/1/2017,6/1/2017,70.9%,77.2%,82.2%,86.8%,89.7%,96.4%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
06/2017,6/1/2017,7/1/2017,77.6%,85.2%,89.3%,93.1%,94.2%,97.8%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
07/2017,7/1/2017,8/1/2017,72.7%,81.8%,84.8%,87.3%,88.6%,92.1%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%
08/2017,8/1/2017,9/1/2017,71.4%,83.2%,88.0%,92.2%,94.1%,96.0%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
09/2017,9/1/2017,10/1/2017,65.9%,81.3%,88.0%,90.9%,92.8%,95.5%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
10/2017,10/1/2017,11/1/2017,53.1%,67.9%,80.2%,86.6%,89.4%,92.7%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%
11/2017,11/1/2017,12/1/2017,58.7%,71.6%,81.3%,87.1%,90.8%,95.0%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
12/2017,12/1/2017,1/1/2018,55.4%,73.1%,78.8%,83.0%,85.3%,92.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%
01/2018,1/1/2018,2/1/2018,44.7%,66.8%,79.1%,82.8%,85.6%,89.9%,90.9%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
02/2018,2/1/2018,3/1/2018,37.9%,67.1%,79.8%,86.4%,90.0%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
03/2018,3/1/2018,4/1/2018,37.8%,69.4%,79.6%,83.2%,85.0%,88.4%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%
04/2018,4/1/2018,5/1/2018,38.1%,70.5%,80.6%,86.5%,87.8%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 10/2015,10/1/2015,1/1/2016,65.5%,72.7%,80.0%,85.5%,89.1%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
Quarter from 01/2016,1/1/2016,4/1/2016,80.1%,89.0%,91.4%,93.7%,95.3%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
Quarter from 04/2016,4/1/2016,7/1/2016,77.4%,81.7%,83.5%,84.6%,85.7%,90.3%,93.2%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
Quarter from 07/2016,7/1/2016,10/1/2016,76.5%,81.7%,83.5%,85.2%,87.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
Quarter from 10/2016,10/1/2016,1/1/2017,60.0%,68.1%,75.1%,80.5%,82.7%,88.1%,90.8%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
Quarter from 01/2017,1/1/2017,4/1/2017,66.9%,75.1%,82.3%,86.3%,87.9%,92.9%,94.4%,95.0%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
Quarter from 04/2017,4/1/2017,7/1/2017,69.9%,78.8%,83.5%,88.0%,90.0%,96.0%,97.3%,97.7%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
Quarter from 07/2017,7/1/2017,10/1/2017,70.3%,82.2%,86.7%,89.4%,90.6%,93.7%,94.7%,95.0%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
Quarter from 10/2017,10/1/2017,1/1/2018,55.8%,70.8%,78.3%,85.7%,88.7%,92.5%,94.0%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
Quarter from 01/2018,1/1/2018,4/1/2018,38.0%,67.8%,79.5%,83.7%,86.7%,89.5%,90.0%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%
