Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/6/2014,5/9/2016,53.9%,62.8%,71.0%,74.8%,78.4%,86.2%,87.9%,88.5%,88.9%,89.2%,90.1%,91.5%,92.3%,92.3%,92.3%
Since joining CNCF,5/9/2016,4/13/2018,20.2%,37.9%,52.0%,56.7%,60.2%,69.3%,71.8%,72.8%,73.3%,73.8%,75.1%,76.6%,78.1%,79.1%,79.1%
start - v0.10.0,1/6/2014,1/26/2015,69.5%,78.5%,81.2%,82.8%,83.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%
v0.10.0 - v0.20.0,1/26/2015,6/15/2016,50.0%,60.0%,68.7%,72.9%,75.9%,85.3%,87.1%,87.7%,88.1%,88.5%,89.5%,91.0%,92.1%,92.1%,92.1%
v0.20.0 - v1.0.0,6/15/2016,7/18/2016,36.0%,55.5%,67.0%,70.3%,73.0%,78.4%,80.1%,81.2%,82.0%,82.8%,83.9%,83.9%,83.9%,83.9%,83.9%
v1.0.0 - v1.1.0,7/18/2016,9/3/2016,30.9%,49.2%,60.0%,69.4%,74.4%,79.7%,81.4%,82.6%,83.6%,84.4%,86.2%,86.9%,86.9%,86.9%,86.9%
v1.1.0 - v1.2.0,9/3/2016,10/7/2016,19.6%,34.5%,48.1%,60.7%,69.3%,77.4%,79.4%,81.0%,82.2%,83.2%,85.5%,85.5%,85.5%,85.5%,85.5%
v1.2.0 - v1.3.0,10/7/2016,11/1/2016,29.8%,56.5%,65.3%,68.5%,70.8%,76.5%,78.5%,80.2%,81.0%,81.8%,83.5%,83.5%,83.5%,83.5%,83.5%
v1.3.0 - v1.4.0,11/1/2016,11/25/2016,22.4%,43.8%,59.8%,68.0%,71.2%,75.9%,77.7%,78.9%,79.8%,80.7%,81.0%,81.0%,81.0%,81.0%,81.0%
v1.4.0 - v1.5.0,11/25/2016,1/23/2017,16.8%,29.1%,41.1%,52.7%,60.5%,66.7%,69.1%,70.4%,71.3%,72.1%,73.9%,74.1%,74.1%,74.1%,74.1%
v1.5.0 - v1.6.0,1/23/2017,4/14/2017,28.0%,51.1%,59.7%,66.7%,71.0%,75.3%,76.6%,77.3%,77.8%,78.2%,79.8%,81.8%,81.9%,81.9%,81.9%
v1.6.0 - v1.7.0,4/14/2017,6/7/2017,22.6%,42.4%,61.3%,66.0%,70.7%,78.4%,79.5%,80.4%,81.0%,81.5%,82.7%,83.4%,83.4%,83.4%,83.4%
v1.7.0 - v1.8.0,6/7/2017,10/6/2017,22.0%,39.1%,54.4%,59.0%,62.8%,68.9%,71.6%,72.7%,73.5%,74.0%,75.6%,77.2%,77.9%,77.9%,77.9%
v1.8.0 - v2.0.0,10/6/2017,11/8/2017,20.4%,38.1%,51.4%,58.2%,63.5%,73.5%,75.3%,76.5%,77.3%,78.1%,80.0%,80.5%,80.5%,80.5%,80.5%
v2.0.0 - v2.1.0,11/8/2017,1/19/2018,20.9%,33.8%,41.9%,49.2%,56.2%,63.6%,66.1%,67.6%,68.6%,69.3%,70.8%,72.3%,72.3%,72.3%,72.3%
v2.1.0 - v2.2.0,1/19/2018,3/8/2018,21.7%,36.4%,46.7%,55.4%,61.8%,68.5%,70.9%,72.0%,72.9%,73.5%,74.7%,75.3%,75.3%,75.3%,75.3%
v2.2.0 - now,3/8/2018,4/13/2018,31.9%,40.0%,47.2%,53.5%,59.6%,66.0%,67.7%,68.6%,69.1%,69.6%,69.8%,69.8%,69.8%,69.8%,69.8%
03/2014,3/1/2014,4/1/2014,45.5%,54.5%,59.1%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%
04/2014,4/1/2014,5/1/2014,71.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,76.9%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,80.0%,88.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
08/2014,8/1/2014,9/1/2014,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%,77.5%
09/2014,9/1/2014,10/1/2014,26.7%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%
10/2014,10/1/2014,11/1/2014,32.1%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%,34.0%
11/2014,11/1/2014,12/1/2014,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%
12/2014,12/1/2014,1/1/2015,51.8%,62.4%,67.1%,68.2%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%,69.4%
01/2015,1/1/2015,2/1/2015,82.5%,92.8%,96.6%,97.8%,98.4%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
02/2015,2/1/2015,3/1/2015,71.4%,82.4%,89.3%,91.5%,92.7%,94.8%,95.6%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
03/2015,3/1/2015,4/1/2015,83.5%,88.2%,89.8%,90.8%,91.6%,94.5%,95.5%,96.5%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
04/2015,4/1/2015,5/1/2015,63.7%,73.8%,83.4%,87.9%,89.3%,92.7%,94.2%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
05/2015,5/1/2015,6/1/2015,80.4%,84.5%,88.7%,90.6%,91.5%,94.5%,95.8%,96.4%,97.0%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
06/2015,6/1/2015,7/1/2015,74.4%,82.3%,88.1%,89.8%,91.1%,94.6%,95.8%,96.4%,96.9%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
07/2015,7/1/2015,8/1/2015,59.4%,69.0%,73.1%,76.6%,79.3%,87.7%,91.4%,92.8%,93.6%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%
08/2015,8/1/2015,9/1/2015,55.0%,72.4%,82.1%,86.8%,87.6%,90.6%,91.9%,93.0%,93.6%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
09/2015,9/1/2015,10/1/2015,62.1%,78.9%,84.1%,88.9%,89.7%,91.7%,92.8%,93.8%,94.3%,94.8%,94.9%,94.9%,94.9%,94.9%,94.9%
10/2015,10/1/2015,11/1/2015,45.0%,65.9%,75.4%,79.8%,80.5%,83.3%,84.8%,86.0%,86.9%,87.5%,87.9%,87.9%,87.9%,87.9%,87.9%
11/2015,11/1/2015,12/1/2015,42.5%,61.0%,72.4%,75.9%,78.3%,84.5%,87.3%,89.3%,90.5%,91.5%,91.8%,91.8%,91.8%,91.8%,91.8%
12/2015,12/1/2015,1/1/2016,39.8%,65.5%,71.6%,75.5%,77.4%,83.3%,85.9%,87.4%,88.6%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
01/2016,1/1/2016,2/1/2016,36.9%,55.5%,70.3%,75.3%,80.1%,88.2%,89.7%,90.6%,91.3%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
02/2016,2/1/2016,3/1/2016,35.9%,54.5%,66.2%,75.3%,80.8%,86.6%,88.3%,89.0%,89.8%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
03/2016,3/1/2016,4/1/2016,39.9%,54.1%,64.1%,70.9%,75.8%,82.6%,84.6%,85.7%,86.5%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%
04/2016,4/1/2016,5/1/2016,23.4%,37.7%,49.9%,59.3%,67.0%,83.5%,85.4%,86.4%,86.9%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%
05/2016,5/1/2016,6/1/2016,16.3%,31.8%,43.9%,53.6%,60.7%,76.7%,79.4%,81.0%,82.0%,82.7%,84.6%,84.6%,84.6%,84.6%,84.6%
06/2016,6/1/2016,7/1/2016,34.0%,48.0%,57.3%,61.7%,65.1%,72.0%,73.9%,74.9%,75.7%,76.5%,78.7%,78.7%,78.7%,78.7%,78.7%
07/2016,7/1/2016,8/1/2016,23.2%,44.8%,63.8%,70.5%,75.1%,80.1%,81.8%,83.2%,84.0%,84.7%,86.0%,86.0%,86.0%,86.0%,86.0%
08/2016,8/1/2016,9/1/2016,28.3%,49.7%,60.6%,69.6%,74.4%,80.4%,82.4%,84.0%,85.2%,86.0%,87.9%,87.9%,87.9%,87.9%,87.9%
