Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,12/27/2015,3/29/2018,88.1%,88.3%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
Since joining CNCF,3/29/2018,4/17/2018,68.1%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%
2015,12/27/2015,1/1/2016,,,,,,,,,,,,,,,
2016,1/1/2016,1/1/2017,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%
2017,1/1/2017,1/1/2018,87.4%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
2018,1/1/2018,4/17/2018,80.4%,82.5%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%,82.8%
12/2015,12/1/2015,1/1/2016,,,,,,,,,,,,,,,
01/2016,1/1/2016,2/1/2016,,,,,,,,,,,,,,,
02/2016,2/1/2016,3/1/2016,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
03/2016,3/1/2016,4/1/2016,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
04/2016,4/1/2016,5/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
08/2016,8/1/2016,9/1/2016,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
09/2016,9/1/2016,10/1/2016,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
10/2016,10/1/2016,11/1/2016,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%
11/2016,11/1/2016,12/1/2016,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
12/2016,12/1/2016,1/1/2017,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
01/2017,1/1/2017,2/1/2017,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
02/2017,2/1/2017,3/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
04/2017,4/1/2017,5/1/2017,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%,74.4%
05/2017,5/1/2017,6/1/2017,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%
06/2017,6/1/2017,7/1/2017,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%
07/2017,7/1/2017,8/1/2017,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%
08/2017,8/1/2017,9/1/2017,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
09/2017,9/1/2017,10/1/2017,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
10/2017,10/1/2017,11/1/2017,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
11/2017,11/1/2017,12/1/2017,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
12/2017,12/1/2017,1/1/2018,69.3%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%
01/2018,1/1/2018,2/1/2018,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%,84.1%
02/2018,2/1/2018,3/1/2018,89.5%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
03/2018,3/1/2018,4/1/2018,73.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%,78.8%
04/2018,4/1/2018,5/1/2018,71.9%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%,75.3%
Quarter from 10/2015,10/1/2015,1/1/2016,,,,,,,,,,,,,,,
Quarter from 01/2016,1/1/2016,4/1/2016,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%,80.9%
Quarter from 04/2016,4/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 10/2016,10/1/2016,1/1/2017,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
Quarter from 01/2017,1/1/2017,4/1/2017,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
Quarter from 04/2017,4/1/2017,7/1/2017,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%
Quarter from 07/2017,7/1/2017,10/1/2017,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%
Quarter from 10/2017,10/1/2017,1/1/2018,80.3%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%
Quarter from 01/2018,1/1/2018,4/1/2018,82.1%,83.9%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
