Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,11/26/2015,10/11/2016,45.8%,64.7%,72.3%,78.4%,82.3%,92.5%,96.0%,97.3%,98.1%,98.7%,99.8%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,10/11/2016,4/17/2018,16.0%,28.0%,34.9%,41.8%,48.2%,70.5%,78.2%,82.2%,84.4%,86.1%,89.8%,94.4%,99.0%,100.0%,100.0%
2015,11/26/2015,1/1/2016,63.4%,92.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,42.4%,59.1%,65.5%,71.8%,75.8%,87.9%,93.1%,95.2%,96.3%,97.2%,98.8%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,18.0%,29.7%,39.2%,46.7%,53.1%,74.0%,80.7%,83.8%,85.7%,87.1%,91.0%,96.2%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,13.3%,25.6%,35.6%,43.6%,51.2%,72.9%,81.8%,85.1%,87.5%,89.4%,94.3%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,61.0%,91.9%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,40.0%,70.0%,79.2%,88.3%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,54.5%,68.8%,82.6%,92.8%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,35.4%,54.0%,68.8%,79.8%,86.7%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,55.7%,65.7%,72.9%,78.6%,84.3%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,29.7%,54.5%,74.3%,81.2%,87.1%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,50.8%,86.4%,91.5%,94.9%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,60.5%,79.4%,86.7%,90.9%,93.0%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,34.3%,63.0%,77.3%,84.7%,89.4%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
