Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
06/2014,6/1/2014,7/1/2014,82.6%,90.0%,92.1%,93.5%,94.6%,96.3%,97.0%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%
07/2014,7/1/2014,8/1/2014,65.5%,89.8%,91.4%,92.7%,93.7%,95.9%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
08/2014,8/1/2014,9/1/2014,55.9%,91.5%,92.6%,93.5%,93.8%,95.0%,95.6%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
09/2014,9/1/2014,10/1/2014,59.7%,85.9%,89.2%,91.7%,92.9%,95.2%,95.6%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
10/2014,10/1/2014,11/1/2014,65.3%,90.8%,93.5%,95.3%,96.0%,98.0%,98.4%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
11/2014,11/1/2014,12/1/2014,63.6%,87.2%,90.6%,91.7%,92.6%,95.4%,96.6%,97.0%,97.3%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
12/2014,12/1/2014,1/1/2015,54.7%,78.8%,82.3%,84.7%,86.8%,92.0%,93.7%,94.6%,94.9%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
01/2015,1/1/2015,2/1/2015,93.3%,98.4%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,88.7%,94.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,90.1%,95.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,88.5%,96.0%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,88.7%,96.1%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,90.1%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,89.9%,95.4%,97.7%,98.6%,99.0%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
09/2015,9/1/2015,10/1/2015,90.7%,95.4%,98.4%,98.9%,99.1%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
10/2015,10/1/2015,11/1/2015,79.9%,91.4%,96.8%,97.8%,98.4%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
11/2015,11/1/2015,12/1/2015,91.5%,98.8%,99.5%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
12/2015,12/1/2015,1/1/2016,93.5%,97.8%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,93.2%,97.1%,99.6%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
02/2016,2/1/2016,3/1/2016,85.1%,89.2%,90.8%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%
03/2016,3/1/2016,4/1/2016,69.6%,79.9%,88.6%,91.2%,92.8%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
04/2016,4/1/2016,5/1/2016,71.9%,85.9%,90.4%,94.0%,94.9%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
05/2016,5/1/2016,6/1/2016,74.0%,82.5%,89.3%,93.0%,94.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
06/2016,6/1/2016,7/1/2016,67.0%,75.8%,83.4%,90.1%,93.9%,95.8%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
07/2016,7/1/2016,8/1/2016,64.7%,79.2%,86.5%,90.3%,93.8%,97.4%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
08/2016,8/1/2016,9/1/2016,70.5%,78.3%,86.0%,88.8%,91.4%,95.1%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
09/2016,9/1/2016,10/1/2016,62.2%,76.8%,85.0%,90.3%,93.0%,95.1%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
10/2016,10/1/2016,11/1/2016,54.5%,68.1%,79.2%,84.7%,87.9%,92.9%,93.6%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%
11/2016,11/1/2016,12/1/2016,56.2%,68.3%,77.8%,86.3%,89.3%,95.1%,96.2%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%
12/2016,12/1/2016,1/1/2017,46.0%,62.5%,75.7%,84.6%,89.3%,95.6%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%
01/2017,1/1/2017,2/1/2017,50.4%,61.6%,71.1%,76.3%,81.0%,92.7%,93.3%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
02/2017,2/1/2017,3/1/2017,42.7%,58.0%,68.2%,72.4%,76.2%,86.5%,90.5%,93.3%,94.2%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
03/2017,3/1/2017,4/1/2017,43.6%,62.3%,68.1%,71.7%,75.1%,86.0%,89.6%,91.8%,92.5%,92.7%,92.7%,92.7%,92.7%,92.7%,92.7%
04/2017,4/1/2017,5/1/2017,41.6%,53.2%,59.3%,63.1%,66.6%,79.2%,84.5%,87.4%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
05/2017,5/1/2017,6/1/2017,52.1%,64.3%,69.5%,72.3%,74.7%,83.9%,89.0%,91.6%,92.2%,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%
06/2017,6/1/2017,7/1/2017,53.3%,69.5%,75.2%,78.1%,80.7%,87.9%,91.5%,93.7%,94.6%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
07/2017,7/1/2017,8/1/2017,48.8%,63.3%,66.5%,69.6%,72.6%,84.0%,91.5%,95.0%,96.2%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
08/2017,8/1/2017,9/1/2017,46.9%,60.0%,65.4%,68.4%,70.9%,79.5%,85.2%,87.8%,88.8%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%
09/2017,9/1/2017,10/1/2017,42.4%,56.7%,61.9%,65.4%,68.8%,77.2%,82.5%,84.5%,85.3%,85.4%,85.4%,85.4%,85.4%,85.4%,85.4%
10/2017,10/1/2017,11/1/2017,27.9%,42.5%,47.7%,52.8%,57.7%,70.0%,75.4%,78.3%,80.0%,80.5%,80.6%,80.6%,80.6%,80.6%,80.6%
11/2017,11/1/2017,12/1/2017,35.3%,46.1%,52.2%,57.1%,61.9%,77.4%,82.9%,86.3%,87.6%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
12/2017,12/1/2017,1/1/2018,25.5%,36.0%,44.8%,51.6%,56.8%,74.8%,81.9%,85.3%,87.6%,88.3%,88.6%,88.6%,88.6%,88.6%,88.6%
01/2018,1/1/2018,2/1/2018,23.8%,40.1%,51.7%,57.9%,63.1%,82.8%,88.5%,91.3%,92.3%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
02/2018,2/1/2018,3/1/2018,22.9%,44.4%,58.6%,66.7%,72.7%,85.6%,90.8%,92.8%,93.8%,94.3%,94.4%,94.4%,94.4%,94.4%,94.4%
