Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,68.3%,76.4%,80.0%,82.9%,85.2%,90.5%,91.4%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%
Quarter from 04/2014,4/1/2014,7/1/2014,77.2%,79.5%,81.6%,83.0%,84.1%,87.8%,89.2%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%
Quarter from 07/2014,7/1/2014,10/1/2014,69.3%,76.5%,78.0%,79.2%,80.5%,83.7%,85.0%,86.0%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%
Quarter from 10/2014,10/1/2014,1/1/2015,63.6%,80.6%,82.0%,83.1%,84.1%,87.3%,88.5%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
Quarter from 01/2015,1/1/2015,4/1/2015,72.8%,78.2%,80.3%,82.5%,84.3%,87.6%,89.0%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
Quarter from 04/2015,4/1/2015,7/1/2015,56.2%,70.3%,78.0%,80.6%,81.9%,84.7%,86.3%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%
Quarter from 07/2015,7/1/2015,10/1/2015,65.9%,71.3%,75.6%,77.8%,79.1%,82.0%,83.1%,84.0%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
Quarter from 10/2015,10/1/2015,1/1/2016,63.6%,72.2%,77.1%,80.3%,81.8%,83.3%,84.0%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%
Quarter from 01/2016,1/1/2016,4/1/2016,73.3%,81.8%,83.6%,84.8%,85.1%,86.3%,87.1%,87.7%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
Quarter from 04/2016,4/1/2016,7/1/2016,75.1%,81.1%,83.0%,84.3%,85.2%,86.8%,87.3%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 07/2016,7/1/2016,10/1/2016,75.9%,81.2%,83.9%,84.6%,85.1%,86.0%,86.4%,86.9%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%
Quarter from 10/2016,10/1/2016,1/1/2017,79.5%,83.3%,85.6%,86.1%,86.6%,87.7%,88.4%,88.9%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
Quarter from 01/2017,1/1/2017,4/1/2017,74.3%,79.0%,82.4%,82.8%,83.1%,84.5%,85.4%,86.1%,86.5%,86.8%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 04/2017,4/1/2017,7/1/2017,65.4%,69.4%,73.3%,74.7%,75.3%,77.5%,78.8%,79.7%,80.4%,80.8%,82.3%,82.3%,82.3%,82.3%,82.3%
Quarter from 07/2017,7/1/2017,10/1/2017,58.4%,69.2%,71.2%,72.2%,73.0%,75.4%,76.5%,77.4%,77.9%,78.4%,79.2%,79.2%,79.2%,79.2%,79.2%
Quarter from 10/2017,10/1/2017,1/1/2018,55.8%,70.8%,74.6%,76.5%,77.6%,79.8%,80.9%,81.7%,82.3%,82.6%,83.5%,83.5%,83.5%,83.5%,83.5%
Quarter from 01/2018,1/1/2018,4/1/2018,48.0%,54.2%,55.4%,56.1%,56.5%,58.1%,58.8%,59.2%,59.7%,60.1%,60.3%,60.3%,60.3%,60.3%,60.3%
Quarter from 04/2018,4/1/2018,7/1/2018,55.8%,60.3%,63.8%,65.3%,66.8%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%
