Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,6/1/2014,3/10/2016,10.3%,17.1%,22.2%,26.5%,30.1%,43.8%,53.9%,61.4%,67.6%,72.5%,85.6%,96.6%,99.3%,100.0%,100.0%
Since joining CNCF,3/10/2016,4/8/2019,7.8%,10.5%,12.8%,14.9%,17.0%,25.4%,32.8%,39.3%,44.7%,49.6%,64.9%,84.1%,96.3%,100.0%,100.0%
start - v1.0.0,6/1/2014,7/11/2015,12.2%,20.4%,26.1%,30.9%,35.1%,51.9%,61.1%,67.2%,72.0%,76.2%,88.4%,97.1%,99.4%,100.0%,100.0%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,9.3%,16.2%,23.1%,29.0%,35.0%,58.1%,72.4%,83.5%,91.8%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,13.5%,20.2%,26.1%,31.5%,36.0%,54.7%,69.5%,79.9%,87.3%,91.8%,98.9%,100.0%,100.0%,100.0%,100.0%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,14.6%,23.7%,32.3%,36.6%,40.4%,56.6%,68.7%,78.5%,85.3%,89.9%,98.0%,100.0%,100.0%,100.0%,100.0%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,11.3%,17.8%,23.7%,29.3%,33.8%,47.9%,57.5%,65.3%,72.3%,78.4%,91.4%,100.0%,100.0%,100.0%,100.0%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,6.0%,11.8%,16.7%,21.4%,24.9%,39.8%,51.0%,60.0%,67.1%,73.1%,88.1%,98.9%,100.0%,100.0%,100.0%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,10.0%,14.2%,17.7%,20.9%,24.1%,37.2%,46.6%,55.0%,61.6%,67.0%,82.4%,97.5%,100.0%,100.0%,100.0%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,22.0%,25.9%,29.4%,32.7%,35.2%,46.8%,56.8%,64.2%,69.6%,74.0%,86.7%,98.5%,100.0%,100.0%,100.0%
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,14.5%,21.0%,26.3%,30.0%,32.7%,43.6%,52.1%,58.4%,63.8%,68.4%,82.4%,96.8%,100.0%,100.0%,100.0%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,7.8%,14.5%,19.6%,23.6%,27.3%,40.8%,50.5%,57.4%,62.9%,67.7%,81.0%,97.2%,100.0%,100.0%,100.0%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,6.7%,13.4%,18.8%,23.7%,27.6%,42.1%,50.9%,57.8%,63.6%,68.9%,83.6%,96.8%,100.0%,100.0%,100.0%
v1.10.0 - v1.11.0,3/26/2018,6/27/2018,5.6%,10.1%,14.4%,18.3%,22.3%,38.9%,51.3%,60.3%,67.4%,72.8%,87.5%,98.9%,100.0%,100.0%,100.0%
v1.11.0 - v1.12.0,6/27/2018,9/27/2018,10.1%,15.2%,20.2%,24.0%,27.7%,43.8%,56.8%,65.1%,71.2%,76.0%,87.6%,98.5%,100.0%,100.0%,100.0%
v1.12.0 - v1.13.0,9/27/2018,12/3/2018,9.6%,15.8%,21.7%,26.7%,31.6%,48.8%,60.8%,68.3%,73.8%,78.6%,92.0%,100.0%,100.0%,100.0%,100.0%
v1.13.0 - v1.14.0,12/3/2018,3/25/2019,27.9%,33.6%,38.6%,43.1%,47.5%,61.3%,70.8%,77.5%,83.0%,86.6%,94.8%,100.0%,100.0%,100.0%,100.0%
v1.14.0 - now,3/25/2019,4/8/2019,21.7%,34.8%,42.4%,50.0%,56.1%,75.8%,84.8%,90.4%,94.4%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014,6/1/2014,1/1/2015,15.5%,25.6%,31.3%,36.9%,42.2%,56.6%,64.3%,69.5%,74.4%,78.6%,89.2%,96.9%,99.4%,100.0%,100.0%
2015,1/1/2015,1/1/2016,6.8%,12.5%,17.9%,23.0%,28.2%,45.7%,60.0%,72.4%,82.1%,89.2%,99.1%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,7.1%,13.2%,17.7%,21.3%,24.3%,36.3%,45.9%,54.6%,61.9%,68.3%,84.2%,97.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,14.1%,18.7%,22.4%,24.5%,26.6%,36.6%,44.3%,50.6%,56.0%,60.7%,74.5%,91.7%,99.5%,100.0%,100.0%
2018,1/1/2018,1/1/2019,4.3%,8.1%,11.7%,14.9%,17.9%,31.9%,43.3%,51.9%,58.2%,63.0%,77.2%,93.2%,99.6%,100.0%,100.0%
2019,1/1/2019,4/8/2019,28.6%,35.4%,40.2%,44.0%,47.8%,61.7%,72.0%,79.1%,84.6%,88.5%,96.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,32.0%,59.1%,67.0%,74.4%,81.4%,89.6%,93.6%,96.0%,97.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,18.9%,35.1%,44.5%,51.3%,57.8%,74.0%,81.8%,87.5%,91.6%,94.3%,98.6%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,15.7%,27.5%,37.9%,44.5%,50.2%,69.1%,80.4%,86.2%,89.8%,92.4%,97.7%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,18.4%,26.1%,33.4%,39.6%,44.9%,62.7%,73.2%,80.8%,86.2%,90.0%,97.6%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,10.6%,19.2%,27.1%,34.2%,41.3%,64.7%,78.4%,86.2%,91.2%,93.9%,98.3%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,11.6%,19.9%,27.7%,33.2%,38.3%,59.3%,72.7%,80.2%,85.4%,89.3%,96.7%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,12.6%,19.7%,24.2%,28.3%,32.4%,50.5%,63.4%,73.2%,79.9%,84.6%,95.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,16.9%,29.6%,41.7%,51.4%,59.0%,88.7%,97.0%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,11.5%,22.5%,31.5%,39.0%,44.9%,71.1%,86.8%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,17.6%,29.2%,35.5%,41.4%,45.8%,65.6%,80.3%,90.1%,95.5%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,10.1%,18.5%,26.2%,32.9%,38.9%,60.8%,76.1%,87.8%,95.3%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,14.3%,26.0%,34.5%,40.9%,45.3%,64.8%,78.7%,87.5%,94.0%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,13.2%,24.8%,35.0%,44.3%,52.4%,81.3%,95.3%,98.5%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,15.0%,27.0%,38.2%,46.5%,53.8%,81.4%,94.6%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,8.2%,16.1%,22.9%,29.4%,35.7%,63.6%,84.5%,95.4%,98.6%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,12.4%,22.1%,30.8%,38.3%,44.5%,67.3%,84.1%,93.4%,96.5%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,11.6%,20.9%,26.8%,32.3%,37.5%,58.4%,71.3%,81.9%,88.8%,94.1%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,29.3%,38.3%,46.7%,53.6%,59.4%,74.2%,84.6%,90.4%,94.8%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,21.0%,32.3%,41.3%,50.0%,55.1%,74.1%,84.4%,91.3%,96.4%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,16.7%,28.1%,36.1%,43.5%,50.0%,73.4%,85.9%,92.4%,96.1%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%
