Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,45.5%,81.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,69.2%,84.6%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,62.1%,93.7%,95.8%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,55.8%,90.1%,95.0%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,41.3%,61.6%,76.7%,90.4%,94.1%,95.6%,96.4%,97.1%,97.6%,99.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,30.7%,58.3%,67.4%,80.7%,91.1%,92.8%,93.9%,94.8%,95.4%,97.3%,99.7%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,25.8%,50.1%,62.9%,76.2%,85.4%,88.5%,90.1%,91.2%,92.0%,94.6%,98.1%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,26.1%,47.4%,56.7%,70.2%,80.1%,82.6%,84.4%,85.9%,87.1%,90.8%,96.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,20.8%,36.6%,52.1%,72.5%,83.6%,86.2%,87.4%,88.4%,89.2%,92.0%,96.2%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,18.6%,34.3%,44.5%,58.5%,77.7%,80.1%,81.9%,83.2%,84.5%,87.8%,93.0%,97.9%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,18.0%,30.4%,41.8%,63.7%,76.7%,79.1%,80.7%,81.9%,82.9%,85.8%,90.8%,96.6%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,20.3%,33.4%,45.8%,57.3%,68.2%,71.3%,73.4%,74.8%,76.0%,80.0%,86.1%,94.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,20.8%,33.1%,42.5%,55.0%,69.2%,72.2%,74.1%,75.4%,76.5%,79.7%,84.7%,91.8%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,19.8%,32.6%,41.8%,52.1%,69.5%,75.4%,78.5%,80.3%,81.5%,84.4%,88.6%,93.6%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,21.4%,32.5%,41.7%,51.4%,62.7%,68.6%,71.5%,73.4%,74.7%,78.5%,83.6%,90.4%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,19.5%,29.8%,37.6%,49.9%,64.3%,69.0%,71.9%,73.5%,74.8%,78.3%,83.4%,89.6%,99.4%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,24.4%,36.8%,42.9%,50.1%,61.8%,67.7%,70.7%,72.6%,73.8%,77.2%,82.4%,88.9%,99.2%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,21.8%,32.7%,42.5%,53.4%,65.5%,71.7%,75.5%,78.5%,81.4%,88.5%,100.0%,100.0%,100.0%,100.0%
