Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
03/2016,3/1/2016,4/1/2016,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
04/2016,4/1/2016,5/1/2016,99.2%,99.5%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,87.5%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
07/2016,7/1/2016,8/1/2016,71.4%,93.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
08/2016,8/1/2016,9/1/2016,78.2%,87.6%,94.1%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
09/2016,9/1/2016,10/1/2016,80.6%,89.1%,95.7%,97.2%,97.6%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
10/2016,10/1/2016,11/1/2016,84.6%,94.0%,96.1%,97.2%,97.9%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
11/2016,11/1/2016,12/1/2016,79.0%,90.9%,97.2%,97.6%,98.0%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
12/2016,12/1/2016,1/1/2017,64.1%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
01/2017,1/1/2017,2/1/2017,67.0%,91.3%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%
02/2017,2/1/2017,3/1/2017,71.9%,92.8%,93.6%,94.5%,94.9%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
03/2017,3/1/2017,4/1/2017,74.6%,86.7%,90.8%,93.1%,94.8%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
04/2017,4/1/2017,5/1/2017,53.1%,86.9%,89.0%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
05/2017,5/1/2017,6/1/2017,62.7%,89.1%,91.8%,92.7%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
06/2017,6/1/2017,7/1/2017,67.9%,93.4%,94.4%,95.5%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
07/2017,7/1/2017,8/1/2017,79.8%,93.0%,96.0%,97.4%,98.5%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
08/2017,8/1/2017,9/1/2017,83.6%,97.0%,97.6%,98.0%,98.3%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
09/2017,9/1/2017,10/1/2017,77.0%,92.6%,93.5%,94.2%,94.7%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
10/2017,10/1/2017,11/1/2017,81.5%,92.7%,94.1%,95.0%,95.7%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
11/2017,11/1/2017,12/1/2017,63.8%,88.6%,89.7%,90.3%,91.0%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
12/2017,12/1/2017,1/1/2018,62.2%,86.0%,88.4%,89.5%,90.7%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%
01/2018,1/1/2018,2/1/2018,58.6%,92.0%,94.5%,95.1%,95.6%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
02/2018,2/1/2018,3/1/2018,58.9%,94.4%,95.3%,95.5%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
03/2018,3/1/2018,4/1/2018,72.0%,88.2%,89.7%,90.0%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
04/2018,4/1/2018,5/1/2018,62.2%,79.8%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%
