Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,6/22/2015,10/24/2017,87.8%,90.9%,92.4%,93.2%,93.4%,94.0%,94.1%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
Since joining CNCF,10/24/2017,4/17/2018,65.2%,71.0%,72.8%,74.1%,75.4%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%
2015,6/22/2015,1/1/2016,91.4%,93.7%,95.8%,97.1%,97.8%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
2016,1/1/2016,1/1/2017,89.5%,93.4%,94.6%,94.7%,94.9%,95.1%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
2017,1/1/2017,1/1/2018,62.8%,67.1%,69.3%,71.3%,72.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%,74.7%
2018,1/1/2018,4/17/2018,70.9%,76.8%,78.1%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%,79.5%
06/2015,6/1/2015,7/1/2015,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
07/2015,7/1/2015,8/1/2015,95.8%,98.0%,99.5%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
08/2015,8/1/2015,9/1/2015,86.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,47.1%,58.8%,70.6%,76.5%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%,82.4%
10/2015,10/1/2015,11/1/2015,83.8%,88.4%,91.9%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
11/2015,11/1/2015,12/1/2015,92.5%,95.3%,97.7%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
12/2015,12/1/2015,1/1/2016,89.8%,96.4%,97.4%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
01/2016,1/1/2016,2/1/2016,89.7%,94.1%,97.8%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
02/2016,2/1/2016,3/1/2016,97.0%,98.8%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
03/2016,3/1/2016,4/1/2016,95.2%,97.8%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
04/2016,4/1/2016,5/1/2016,97.4%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
