Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
12/2015,12/1/2015,1/1/2016,65.5%,72.7%,80.0%,85.5%,89.1%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
01/2016,1/1/2016,2/1/2016,72.7%,90.9%,92.9%,94.9%,96.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
02/2016,2/1/2016,3/1/2016,77.7%,90.9%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,86.4%,90.1%,93.8%,94.4%,95.1%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
04/2016,4/1/2016,5/1/2016,77.9%,85.7%,87.1%,88.6%,90.0%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
05/2016,5/1/2016,6/1/2016,74.6%,77.6%,80.6%,82.1%,83.6%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
06/2016,6/1/2016,7/1/2016,79.2%,83.3%,87.5%,90.3%,91.7%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
07/2016,7/1/2016,8/1/2016,78.1%,84.4%,90.6%,93.8%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
08/2016,8/1/2016,9/1/2016,60.4%,68.8%,72.9%,77.1%,79.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
09/2016,9/1/2016,10/1/2016,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,76.6%,85.1%,87.2%,89.4%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%
11/2016,11/1/2016,12/1/2016,73.9%,89.1%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
12/2016,12/1/2016,1/1/2017,44.6%,59.8%,70.7%,77.2%,80.4%,89.1%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
01/2017,1/1/2017,2/1/2017,69.7%,81.1%,85.5%,89.0%,90.4%,93.0%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
02/2017,2/1/2017,3/1/2017,60.5%,72.7%,81.5%,85.6%,89.3%,95.6%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
03/2017,3/1/2017,4/1/2017,71.4%,76.3%,80.8%,84.5%,86.5%,93.5%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
04/2017,4/1/2017,5/1/2017,52.5%,68.6%,78.5%,82.8%,86.2%,94.6%,96.9%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
05/2017,5/1/2017,6/1/2017,70.9%,77.2%,82.2%,86.8%,89.7%,96.4%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
06/2017,6/1/2017,7/1/2017,77.6%,85.2%,89.3%,93.1%,94.2%,97.8%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
07/2017,7/1/2017,8/1/2017,72.7%,81.8%,84.8%,87.3%,88.6%,92.1%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%,92.9%
08/2017,8/1/2017,9/1/2017,71.4%,83.2%,88.0%,92.2%,94.1%,96.0%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%
09/2017,9/1/2017,10/1/2017,65.9%,81.3%,88.0%,90.9%,92.8%,95.5%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
10/2017,10/1/2017,11/1/2017,53.1%,67.9%,80.2%,86.6%,89.4%,92.7%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%
11/2017,11/1/2017,12/1/2017,58.7%,71.6%,81.3%,87.1%,90.8%,95.0%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
12/2017,12/1/2017,1/1/2018,55.4%,73.1%,78.8%,83.0%,85.3%,92.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%,93.9%
01/2018,1/1/2018,2/1/2018,44.7%,66.8%,79.1%,82.8%,85.6%,89.9%,90.9%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
02/2018,2/1/2018,3/1/2018,37.9%,67.1%,79.8%,86.4%,90.0%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%,91.2%
03/2018,3/1/2018,4/1/2018,37.8%,69.4%,79.6%,83.2%,85.0%,88.4%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%
04/2018,4/1/2018,5/1/2018,38.1%,70.5%,80.6%,86.5%,87.8%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
