Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,70.2%,91.5%,95.7%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,46.8%,67.3%,81.1%,91.1%,94.3%,97.0%,98.2%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,54.2%,68.0%,73.4%,76.7%,79.4%,84.6%,87.5%,89.7%,91.1%,92.4%,97.8%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,31.0%,44.0%,56.2%,61.8%,67.4%,81.0%,84.4%,86.6%,88.4%,89.5%,94.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,33.0%,47.0%,59.8%,71.4%,77.9%,88.2%,90.4%,91.7%,92.7%,93.3%,95.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,37.0%,61.8%,69.4%,73.9%,78.3%,90.3%,92.3%,93.2%,94.1%,94.7%,96.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,31.7%,45.6%,52.8%,59.5%,65.3%,83.6%,88.2%,89.5%,90.4%,91.2%,93.2%,96.2%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,35.4%,52.5%,62.7%,67.2%,71.1%,86.2%,91.3%,93.1%,94.0%,94.6%,95.9%,97.7%,100.0%,100.0%,100.0%
