Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,2/23/2015,2/16/2017,10.5%,19.8%,26.6%,33.1%,38.2%,54.9%,66.7%,74.7%,78.9%,82.1%,88.6%,91.5%,93.6%,96.3%,98.5%
Since joining CNCF,2/16/2017,4/17/2018,7.6%,13.0%,18.1%,22.3%,25.8%,41.9%,55.5%,65.6%,73.0%,78.8%,85.6%,88.3%,90.7%,94.3%,97.3%
2015,2/23/2015,1/1/2016,11.9%,19.4%,26.8%,34.2%,41.3%,64.2%,77.8%,87.8%,90.5%,92.1%,94.1%,96.1%,97.9%,100.0%,100.0%
2016,1/1/2016,1/1/2017,14.0%,21.0%,27.6%,33.8%,37.9%,54.1%,65.0%,71.9%,77.0%,80.8%,86.5%,90.2%,93.1%,96.9%,99.9%
2017,1/1/2017,1/1/2018,7.4%,14.9%,19.8%,24.5%,27.9%,43.4%,56.2%,66.5%,74.5%,80.1%,86.0%,88.6%,91.2%,95.0%,98.0%
2018,1/1/2018,4/17/2018,7.3%,13.5%,19.1%,24.0%,27.9%,43.8%,55.1%,64.6%,72.0%,77.1%,86.3%,90.4%,94.3%,99.9%,100.0%
02/2015,2/1/2015,3/1/2015,16.2%,30.2%,40.6%,46.0%,50.8%,70.2%,82.2%,87.6%,90.8%,93.3%,99.7%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,11.5%,20.8%,29.7%,37.8%,45.6%,69.0%,81.5%,87.3%,90.5%,92.8%,96.4%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,11.3%,20.5%,29.1%,37.0%,44.6%,69.1%,82.3%,89.3%,92.6%,94.6%,98.6%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,14.6%,25.2%,34.7%,44.1%,49.9%,72.3%,85.5%,93.1%,95.3%,96.3%,98.6%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,14.8%,24.9%,34.6%,42.4%,49.0%,71.6%,85.1%,90.5%,93.7%,95.5%,98.4%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,15.7%,25.0%,33.6%,41.4%,47.4%,71.3%,84.4%,91.1%,93.7%,95.2%,98.1%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,8.7%,17.4%,24.5%,31.1%,37.7%,64.0%,81.4%,91.4%,94.4%,96.0%,98.7%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,12.7%,23.8%,30.8%,37.4%,44.1%,67.7%,82.7%,90.9%,93.2%,94.3%,97.1%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,13.8%,25.6%,35.0%,43.4%,50.3%,69.1%,81.9%,89.1%,91.7%,93.5%,96.6%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,14.2%,23.9%,32.1%,39.6%,46.0%,63.8%,77.4%,87.1%,91.1%,92.9%,96.8%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,18.6%,28.2%,35.7%,42.3%,47.9%,68.5%,80.8%,89.3%,92.8%,94.2%,97.2%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,20.3%,33.0%,41.8%,48.9%,53.2%,71.0%,81.4%,86.8%,89.4%,91.0%,94.6%,99.3%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,14.7%,24.9%,34.0%,41.0%,47.1%,67.3%,78.7%,84.8%,88.5%,90.6%,95.1%,99.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,24.0%,31.1%,37.2%,42.8%,47.7%,66.0%,77.8%,84.9%,87.6%,89.8%,94.4%,98.7%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,23.1%,36.4%,43.5%,50.6%,57.5%,70.0%,78.1%,83.3%,86.3%,88.3%,92.8%,97.4%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,26.7%,35.1%,42.3%,48.5%,52.5%,65.1%,73.3%,79.4%,84.1%,87.0%,91.8%,97.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,31.4%,37.9%,43.4%,48.4%,52.5%,68.4%,77.6%,83.2%,86.9%,88.9%,92.6%,96.6%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,17.1%,26.5%,34.3%,39.7%,44.8%,59.8%,69.7%,77.3%,82.7%,86.4%,92.6%,97.5%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,9.8%,18.9%,26.7%,34.2%,38.0%,55.5%,67.3%,75.0%,79.9%,82.6%,88.0%,94.2%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,13.3%,20.2%,25.4%,30.1%,34.8%,51.0%,61.8%,70.0%,76.5%,80.0%,85.6%,92.4%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,13.2%,19.6%,23.9%,27.9%,31.7%,49.1%,60.7%,69.5%,75.4%,79.1%,85.5%,92.4%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,13.2%,21.7%,29.1%,34.9%,38.8%,52.9%,64.3%,73.6%,77.8%,80.2%,85.8%,92.6%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,8.2%,15.8%,22.3%,28.1%,33.2%,55.5%,66.9%,73.7%,77.9%,80.9%,87.1%,94.6%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,10.5%,19.1%,27.5%,32.9%,38.0%,54.7%,66.6%,75.9%,81.3%,85.0%,91.2%,96.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,15.7%,24.6%,30.3%,34.8%,38.8%,54.8%,65.9%,73.9%,79.9%,83.2%,89.4%,95.8%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,15.1%,19.6%,23.7%,27.9%,31.9%,50.4%,65.5%,75.9%,81.4%,84.3%,89.4%,94.8%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,12.4%,19.4%,24.3%,28.9%,33.2%,50.4%,62.1%,71.7%,78.4%,83.3%,88.8%,94.3%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,10.5%,17.6%,21.5%,25.1%,28.4%,44.0%,57.8%,70.2%,78.7%,81.9%,87.1%,93.1%,99.8%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,11.3%,17.3%,23.0%,28.0%,32.9%,51.3%,64.1%,72.8%,79.1%,83.7%,89.5%,94.5%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,6.1%,12.1%,17.5%,22.6%,27.4%,45.9%,61.9%,72.4%,79.5%,83.6%,89.2%,94.6%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,7.7%,15.1%,19.9%,24.4%,28.9%,47.8%,61.8%,69.9%,75.9%,80.5%,87.3%,94.1%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,11.5%,18.9%,25.1%,29.1%,32.9%,48.7%,61.1%,70.9%,78.6%,83.5%,89.9%,95.2%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,7.4%,13.5%,19.2%,24.6%,29.3%,48.3%,61.4%,71.5%,78.3%,83.0%,88.3%,94.4%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,8.7%,17.2%,25.5%,30.3%,34.9%,54.6%,67.6%,76.3%,82.2%,84.9%,89.2%,93.7%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,10.4%,18.2%,25.3%,30.3%,34.8%,52.7%,65.9%,75.1%,81.5%,85.9%,90.7%,94.9%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,8.1%,15.2%,21.4%,27.6%,32.3%,48.2%,60.2%,68.8%,75.2%,80.3%,88.9%,94.5%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,7.1%,13.3%,19.0%,24.4%,29.9%,48.8%,61.9%,72.1%,78.3%,82.4%,90.3%,95.6%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,6.9%,12.5%,17.9%,23.2%,27.5%,44.8%,57.0%,67.0%,73.9%,78.6%,86.4%,92.5%,98.2%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,9.5%,17.0%,23.2%,28.3%,33.1%,49.9%,62.1%,71.3%,77.5%,81.8%,90.3%,97.7%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,10.8%,20.7%,29.3%,37.4%,44.5%,68.2%,80.3%,86.2%,89.1%,91.3%,95.2%,98.8%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,13.1%,22.5%,31.8%,39.7%,46.8%,68.6%,82.2%,90.2%,92.9%,94.3%,96.7%,99.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,12.1%,19.9%,26.7%,33.1%,39.5%,65.0%,80.1%,90.6%,92.9%,94.1%,96.4%,98.6%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,12.8%,24.2%,33.2%,39.9%,45.8%,66.2%,78.3%,86.8%,90.8%,92.1%,94.7%,97.5%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,16.4%,27.9%,35.8%,43.2%,48.5%,66.6%,77.4%,83.8%,86.9%,88.9%,92.8%,96.3%,99.1%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,27.2%,34.3%,40.9%,47.2%,52.2%,65.7%,74.5%,81.2%,85.1%,87.1%,90.6%,94.0%,97.5%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,10.6%,20.3%,27.6%,31.9%,36.1%,52.4%,62.9%,71.3%,77.2%,81.0%,86.8%,91.4%,95.5%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,8.4%,16.0%,21.3%,26.5%,30.6%,48.2%,60.2%,69.2%,75.3%,78.4%,83.7%,88.9%,93.9%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,13.3%,18.1%,22.8%,27.5%,32.0%,49.0%,61.5%,71.4%,78.4%,82.3%,87.8%,91.9%,95.7%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,9.5%,16.6%,21.1%,25.4%,29.1%,44.9%,57.5%,68.2%,76.1%,81.4%,86.6%,90.6%,94.5%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,7.3%,13.8%,18.2%,22.5%,26.7%,43.2%,56.6%,67.1%,75.1%,80.6%,86.7%,91.1%,95.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,8.7%,14.2%,19.6%,24.1%,28.3%,47.6%,62.3%,71.4%,78.1%,83.2%,87.9%,91.2%,94.8%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,6.9%,13.5%,18.7%,23.3%,27.9%,44.2%,55.8%,65.6%,72.8%,77.5%,86.6%,90.9%,94.8%,100.0%,100.0%
