Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/2/2014,2/5/2018,45.8%,90.4%,90.7%,91.0%,91.1%,91.4%,91.5%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%
Since joining CNCF,2/5/2018,4/17/2018,25.6%,43.8%,61.9%,65.6%,68.1%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%
2014,1/2/2014,1/1/2015,60.7%,94.5%,94.8%,94.9%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
2015,1/1/2015,1/1/2016,57.3%,97.2%,97.6%,97.8%,97.9%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
2016,1/1/2016,1/1/2017,54.3%,88.2%,88.3%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%,88.5%
2017,1/1/2017,1/1/2018,51.7%,79.3%,80.5%,81.1%,81.4%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%
2018,1/1/2018,4/17/2018,33.3%,50.4%,62.9%,68.3%,71.2%,73.1%,73.1%,73.1%,73.1%,73.1%,73.1%,73.1%,73.1%,73.1%,73.1%
01/2014,1/1/2014,2/1/2014,94.5%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
02/2014,2/1/2014,3/1/2014,88.0%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%
03/2014,3/1/2014,4/1/2014,89.1%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
04/2014,4/1/2014,5/1/2014,77.5%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
05/2014,5/1/2014,6/1/2014,78.2%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
06/2014,6/1/2014,7/1/2014,71.2%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
07/2014,7/1/2014,8/1/2014,50.5%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
