Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
01/2014,1/1/2014,2/1/2014,31.3%,46.3%,55.1%,61.9%,67.3%,83.0%,89.8%,93.2%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,30.9%,48.9%,63.0%,71.0%,77.5%,92.0%,95.8%,97.7%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,48.6%,63.7%,68.5%,72.6%,76.7%,87.0%,92.5%,95.9%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,58.1%,63.9%,69.7%,73.5%,77.4%,86.5%,91.0%,94.2%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,54.2%,66.5%,73.5%,76.8%,78.7%,86.5%,91.6%,94.8%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,63.0%,70.5%,76.3%,79.8%,82.7%,91.9%,95.4%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,42.6%,49.3%,55.9%,61.8%,66.9%,83.1%,90.4%,94.9%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,34.3%,49.1%,63.0%,69.6%,73.9%,84.3%,88.7%,91.3%,93.5%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,27.4%,40.6%,51.9%,61.3%,68.9%,83.0%,88.7%,93.4%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,41.9%,59.5%,67.6%,73.8%,78.6%,91.0%,95.7%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,27.0%,49.0%,64.7%,76.3%,79.7%,88.7%,92.7%,94.3%,96.0%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,33.8%,51.5%,66.2%,77.5%,80.5%,88.3%,91.6%,94.6%,96.7%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,30.7%,54.0%,64.4%,71.6%,76.2%,89.3%,93.1%,95.8%,97.7%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,32.8%,46.5%,59.1%,66.7%,72.7%,85.9%,90.9%,93.4%,96.0%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,26.7%,47.5%,67.3%,75.2%,81.2%,90.6%,94.6%,97.0%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,30.5%,48.6%,60.5%,71.7%,79.7%,91.6%,95.2%,96.8%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,35.8%,46.1%,54.9%,62.2%,67.9%,82.9%,88.1%,91.7%,94.3%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,26.2%,50.0%,57.4%,61.4%,65.3%,77.2%,83.7%,88.1%,90.6%,93.1%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,39.7%,54.0%,61.5%,66.7%,70.7%,82.8%,88.5%,92.5%,95.4%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,28.6%,44.8%,49.4%,53.2%,57.1%,70.1%,79.9%,86.4%,89.6%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,29.5%,55.4%,66.1%,70.8%,74.5%,81.5%,86.3%,90.0%,92.6%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,40.4%,54.8%,64.9%,71.9%,75.0%,83.8%,88.2%,90.8%,93.0%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,39.0%,51.9%,61.4%,70.0%,77.1%,87.6%,91.4%,93.8%,96.2%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,42.8%,56.8%,64.0%,68.2%,71.2%,82.9%,88.4%,91.8%,93.8%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,36.1%,50.0%,60.4%,65.7%,70.0%,77.0%,81.3%,85.7%,89.1%,91.3%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,28.7%,51.6%,69.7%,74.5%,78.2%,87.2%,92.0%,94.7%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,30.4%,56.5%,73.1%,77.1%,80.4%,88.1%,91.8%,94.2%,95.6%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,35.9%,61.6%,71.0%,76.7%,80.5%,86.8%,89.6%,91.5%,92.9%,94.2%,99.7%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,43.1%,57.7%,71.1%,76.3%,79.4%,89.1%,93.0%,95.1%,96.7%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,37.5%,54.9%,69.8%,72.7%,75.5%,83.9%,87.5%,90.1%,92.7%,94.0%,99.2%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,34.8%,57.0%,65.8%,73.9%,77.6%,84.5%,87.6%,90.6%,92.7%,94.2%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,39.4%,61.7%,73.1%,78.5%,81.1%,88.8%,92.4%,94.5%,95.4%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,35.0%,63.7%,75.2%,78.1%,80.7%,86.2%,89.4%,91.3%,92.9%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,29.6%,59.0%,74.1%,77.5%,80.7%,88.1%,91.1%,93.6%,94.8%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,24.5%,45.7%,66.5%,80.0%,85.5%,90.6%,92.7%,94.7%,95.9%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,31.6%,55.7%,78.9%,81.6%,83.0%,88.7%,91.4%,93.4%,94.5%,95.5%,99.6%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,46.5%,67.2%,77.7%,82.1%,84.4%,89.2%,91.8%,93.6%,95.1%,96.0%,99.6%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,38.3%,65.5%,71.0%,75.7%,78.1%,84.5%,88.1%,90.7%,92.6%,93.8%,98.6%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,38.8%,61.4%,68.5%,71.6%,73.9%,80.5%,83.8%,86.3%,88.6%,89.8%,94.9%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,34.7%,64.8%,68.2%,69.9%,71.3%,76.4%,80.1%,83.0%,85.5%,86.9%,92.6%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,33.1%,65.5%,69.6%,73.7%,76.9%,82.5%,85.9%,88.3%,89.5%,90.8%,95.6%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,32.0%,55.8%,60.3%,64.3%,67.7%,78.2%,83.3%,86.1%,89.0%,90.7%,96.3%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,30.3%,56.6%,69.3%,72.4%,74.2%,80.0%,82.2%,84.4%,86.6%,88.4%,92.9%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,30.2%,52.7%,60.7%,63.8%,66.1%,72.8%,76.2%,79.5%,82.9%,86.2%,93.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,29.9%,59.0%,63.7%,66.7%,68.4%,73.1%,77.4%,79.5%,81.6%,83.8%,92.3%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,23.1%,45.6%,66.5%,69.3%,70.9%,75.9%,80.1%,83.2%,86.4%,88.9%,95.3%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,46.9%,59.2%,71.6%,74.7%,76.9%,81.5%,84.5%,87.1%,88.9%,90.8%,95.8%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,45.1%,55.3%,63.8%,71.5%,78.5%,88.1%,90.7%,91.9%,92.9%,93.9%,97.8%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,20.1%,39.6%,58.6%,64.4%,67.1%,74.3%,78.3%,81.6%,84.2%,86.4%,91.7%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,23.0%,43.0%,61.2%,67.7%,68.8%,73.6%,77.5%,80.3%,83.1%,85.7%,91.3%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,35.2%,55.0%,62.8%,64.5%,66.2%,70.8%,73.9%,76.8%,79.7%,82.5%,88.5%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,39.7%,55.8%,60.3%,63.8%,66.3%,74.9%,79.9%,83.9%,86.4%,88.9%,99.0%,100.0%,100.0%,100.0%,100.0%
