Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Since joining CNCF,12/7/2015,4/17/2018,29.0%,39.4%,48.7%,56.0%,61.9%,77.1%,85.1%,88.8%,90.0%,90.7%,92.3%,94.3%,96.5%,99.5%,100.0%
2015,12/7/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,46.9%,62.1%,73.7%,82.8%,85.0%,90.0%,91.8%,93.3%,94.3%,95.1%,97.2%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,30.2%,42.1%,53.2%,62.0%,66.4%,82.5%,86.5%,88.4%,89.3%,89.9%,91.7%,94.1%,96.6%,100.0%,100.0%
2018,1/1/2018,4/17/2018,34.5%,53.6%,63.0%,67.5%,71.9%,86.2%,91.5%,93.1%,94.0%,94.6%,95.8%,97.6%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,55.2%,89.7%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,49.7%,83.6%,89.4%,93.1%,95.2%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,37.0%,60.5%,77.5%,88.0%,91.5%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,72.5%,88.3%,97.1%,97.7%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,71.9%,91.1%,94.5%,96.6%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,50.6%,60.7%,68.5%,72.6%,75.6%,82.7%,87.5%,90.5%,93.5%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,18.2%,36.4%,45.5%,54.5%,60.0%,72.7%,81.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,43.9%,69.7%,78.8%,81.8%,83.3%,90.9%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,35.4%,51.8%,62.2%,68.9%,73.8%,80.5%,85.4%,88.4%,91.5%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,29.4%,53.7%,63.8%,71.6%,77.5%,85.3%,89.0%,91.3%,93.6%,95.9%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,23.5%,39.9%,54.7%,64.6%,72.3%,85.2%,88.1%,89.7%,91.3%,92.9%,99.4%,100.0%,100.0%,100.0%,100.0%
