Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
Before joining CNCF,1/1/2014,3/10/2016,4.8%,9.4%,12.7%,19.1%,30.3%,37.1%,42.8%,47.9%,52.4%,66.3%,85.4%,96.7%,99.8%,100.0%
Since joining CNCF,3/10/2016,4/13/2018,3.2%,6.3%,9.4%,13.9%,21.4%,27.0%,31.9%,35.9%,39.2%,50.3%,69.1%,88.1%,99.4%,100.0%
2014,1/1/2014,1/1/2015,10.1%,17.8%,24.3%,32.7%,48.0%,56.4%,62.1%,66.6%,70.1%,81.5%,93.0%,98.2%,100.0%,100.0%
2015,1/1/2015,1/1/2016,5.9%,11.4%,15.2%,19.7%,29.2%,37.7%,45.3%,51.5%,57.2%,75.1%,95.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,2.6%,5.2%,7.6%,12.2%,22.0%,30.5%,37.0%,42.3%,46.7%,60.9%,82.0%,96.1%,100.0%,100.0%
2017,1/1/2017,1/1/2018,5.3%,9.3%,12.1%,17.0%,25.3%,31.7%,36.1%,40.0%,43.7%,55.1%,73.5%,91.3%,100.0%,100.0%
2018,1/1/2018,4/13/2018,10.1%,14.6%,17.8%,22.9%,32.6%,40.1%,45.4%,49.8%,53.3%,64.5%,81.1%,95.4%,100.0%,100.0%
01/2014,1/1/2014,2/1/2014,41.9%,62.0%,72.9%,83.8%,94.7%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2014,2/1/2014,3/1/2014,24.2%,39.3%,52.3%,73.2%,90.1%,96.6%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/1/2014,4/1/2014,31.1%,49.1%,62.9%,78.1%,91.9%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,26.0%,47.0%,64.9%,78.4%,93.2%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,41.7%,56.2%,65.3%,75.2%,90.5%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,21.6%,39.8%,48.9%,60.2%,77.8%,84.1%,88.3%,91.4%,93.8%,98.5%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,15.0%,27.8%,35.2%,45.7%,61.9%,71.4%,77.8%,82.8%,86.8%,95.5%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,12.2%,21.3%,29.2%,40.1%,58.8%,69.9%,78.3%,83.9%,87.4%,94.8%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,14.3%,21.0%,27.1%,37.6%,54.4%,65.3%,73.1%,79.2%,83.7%,94.1%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,8.0%,14.5%,20.5%,31.5%,52.8%,65.7%,75.2%,81.5%,86.3%,95.1%,99.8%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,9.4%,16.1%,22.4%,31.1%,48.1%,60.6%,70.1%,76.8%,81.5%,92.1%,99.1%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,7.2%,12.1%,16.7%,23.4%,35.9%,46.3%,55.3%,61.8%,67.6%,82.5%,95.5%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,15.2%,23.9%,30.7%,40.5%,58.4%,71.8%,81.8%,89.6%,93.5%,99.8%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,14.3%,20.4%,26.0%,34.8%,51.1%,61.5%,70.9%,77.6%,83.0%,96.3%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,7.9%,15.0%,20.8%,30.5%,43.4%,53.2%,61.8%,69.7%,76.0%,91.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,4.3%,8.6%,12.2%,19.0%,33.5%,45.3%,53.9%,61.3%,68.1%,87.2%,100.0%,100.0%,100.0%,100.0%
