Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,9/14/2016,9/13/2017,41.4%,60.5%,70.1%,79.1%,83.3%,89.8%,92.3%,93.8%,94.8%,95.5%,97.5%,99.2%,100.0%,100.0%,100.0%
Since joining CNCF,9/13/2017,4/17/2018,41.9%,58.6%,62.2%,64.6%,66.9%,76.8%,82.1%,84.9%,87.1%,88.7%,92.0%,95.5%,98.5%,100.0%,100.0%
2016,9/14/2016,1/1/2017,52.5%,75.3%,84.3%,92.3%,93.6%,97.0%,98.1%,98.7%,99.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,43.3%,58.1%,70.6%,74.9%,77.7%,85.6%,88.7%,91.0%,92.5%,93.4%,95.7%,97.9%,99.5%,100.0%,100.0%
2018,1/1/2018,4/17/2018,34.2%,53.2%,56.9%,60.5%,63.4%,74.3%,80.1%,83.3%,85.3%,86.8%,90.9%,95.9%,99.6%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,46.2%,64.2%,81.1%,89.6%,92.0%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,39.5%,76.5%,89.7%,93.2%,95.8%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,65.1%,79.2%,89.9%,93.7%,96.9%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,63.1%,78.8%,88.9%,92.4%,94.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,54.5%,70.7%,84.2%,86.5%,88.6%,95.0%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,40.9%,66.1%,77.9%,85.0%,87.5%,95.5%,97.7%,99.0%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,42.1%,67.9%,77.9%,85.4%,92.2%,96.1%,98.1%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,48.1%,69.4%,79.6%,83.2%,86.7%,93.3%,96.6%,98.1%,98.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,30.6%,52.6%,69.7%,75.0%,79.8%,90.0%,94.7%,96.8%,98.0%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,38.0%,59.4%,73.2%,79.5%,84.8%,92.2%,95.0%,96.7%,98.0%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,39.5%,61.4%,78.6%,82.5%,84.8%,92.7%,95.6%,97.1%,98.6%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,33.3%,58.7%,72.4%,77.4%,80.9%,87.7%,91.3%,93.4%,95.1%,96.4%,99.3%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,41.7%,53.2%,63.9%,71.2%,75.9%,87.9%,92.1%,95.0%,96.8%,97.5%,99.8%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,49.1%,64.5%,69.2%,72.2%,75.1%,84.5%,89.8%,93.3%,95.0%,96.2%,98.8%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,53.5%,68.9%,72.7%,75.3%,77.7%,86.1%,89.0%,90.9%,92.4%,93.5%,96.7%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,48.9%,63.2%,69.2%,73.3%,77.4%,85.0%,88.2%,90.7%,92.6%,94.3%,98.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,39.0%,57.8%,61.6%,65.1%,67.9%,77.5%,82.8%,86.4%,89.2%,91.3%,96.3%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,24.5%,47.2%,53.8%,58.5%,63.1%,76.7%,84.0%,87.5%,89.7%,91.3%,95.8%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,33.7%,48.7%,53.5%,58.4%,62.9%,73.7%,78.6%,82.2%,85.1%,87.5%,93.1%,99.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,43.1%,64.5%,68.2%,71.2%,74.1%,81.7%,85.6%,88.1%,90.1%,92.0%,96.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,46.2%,64.2%,81.1%,89.6%,92.0%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,54.1%,78.1%,86.0%,93.0%,94.7%,98.1%,98.9%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,44.4%,64.6%,76.7%,85.4%,88.8%,93.5%,95.9%,97.3%,98.2%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%
