Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,3/18/2016,2/27/2017,84.9%,88.8%,90.7%,92.6%,93.9%,97.1%,98.1%,98.7%,99.0%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,2/27/2017,4/17/2018,69.7%,77.6%,85.1%,89.6%,90.4%,92.3%,93.5%,94.4%,95.0%,95.5%,97.0%,98.8%,100.0%,100.0%,100.0%
2016,3/18/2016,1/1/2017,87.4%,89.5%,91.6%,93.2%,94.7%,97.5%,98.4%,98.9%,99.2%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,73.5%,82.4%,86.8%,91.2%,91.5%,92.9%,94.0%,94.8%,95.4%,95.9%,97.4%,99.5%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,61.4%,76.4%,82.4%,86.7%,89.1%,93.0%,94.8%,95.8%,96.6%,97.3%,99.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,99.2%,99.5%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,87.5%,93.8%,96.9%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,71.4%,93.9%,95.9%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,78.2%,86.5%,92.9%,95.3%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,80.6%,87.2%,93.4%,94.8%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,84.6%,90.9%,93.7%,95.8%,96.8%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,79.0%,90.9%,94.8%,96.4%,97.2%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,64.1%,79.5%,89.7%,92.3%,94.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,67.0%,82.5%,90.3%,93.2%,96.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,71.9%,89.4%,91.5%,93.2%,94.9%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,74.6%,84.4%,88.4%,90.8%,92.5%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,53.1%,77.9%,82.8%,86.2%,89.0%,95.2%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,62.7%,82.7%,86.4%,89.1%,90.9%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,67.9%,80.8%,88.9%,93.4%,94.4%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,79.8%,85.3%,90.1%,93.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,83.6%,91.7%,93.9%,96.0%,96.8%,98.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,77.0%,84.0%,87.5%,91.0%,92.8%,96.3%,98.4%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,81.5%,89.8%,91.4%,92.7%,93.7%,97.4%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,63.8%,74.8%,83.1%,86.6%,87.6%,91.4%,94.8%,96.6%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,62.2%,72.1%,79.7%,85.8%,88.1%,94.2%,96.8%,98.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,58.6%,74.6%,82.2%,88.3%,90.6%,95.4%,97.6%,98.6%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,58.9%,79.7%,87.6%,90.8%,92.1%,96.6%,98.5%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,72.0%,79.0%,82.3%,84.9%,87.1%,92.3%,95.2%,97.0%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,62.2%,68.1%,73.1%,77.3%,81.5%,93.3%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,97.7%,98.6%,99.0%,99.4%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,78.6%,84.4%,87.7%,90.7%,93.3%,96.7%,98.6%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,80.7%,87.0%,91.1%,95.0%,96.2%,98.3%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,71.8%,86.3%,88.6%,90.2%,91.8%,96.1%,98.0%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,62.9%,77.9%,86.3%,90.2%,91.0%,93.7%,95.6%,97.0%,98.0%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,80.9%,86.7%,90.8%,93.9%,94.5%,97.0%,98.2%,98.9%,99.4%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,68.9%,78.7%,84.0%,88.0%,88.9%,91.5%,93.3%,94.9%,95.9%,97.0%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,61.3%,77.2%,83.4%,87.8%,90.1%,93.6%,95.3%,96.4%,97.2%,98.0%,99.4%,100.0%,100.0%,100.0%,100.0%
