Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
11/2016,11/1/2016,12/1/2016,31.9%,32.9%,33.8%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%,34.3%
12/2016,12/1/2016,1/1/2017,64.3%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%
01/2017,1/1/2017,2/1/2017,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%,78.6%
02/2017,2/1/2017,3/1/2017,65.1%,70.4%,72.5%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%
03/2017,3/1/2017,4/1/2017,51.6%,59.7%,61.5%,62.0%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%,62.4%
04/2017,4/1/2017,5/1/2017,57.3%,60.7%,62.2%,63.4%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%,63.7%
05/2017,5/1/2017,6/1/2017,55.2%,56.4%,57.0%,57.6%,58.1%,58.7%,58.7%,58.7%,58.7%,58.7%,58.7%,58.7%,58.7%,58.7%,58.7%
06/2017,6/1/2017,7/1/2017,38.4%,39.7%,41.1%,42.0%,42.9%,44.7%,44.7%,44.7%,44.7%,44.7%,44.7%,44.7%,44.7%,44.7%,44.7%
07/2017,7/1/2017,8/1/2017,18.8%,32.3%,34.9%,35.4%,35.9%,36.5%,36.5%,36.5%,36.5%,36.5%,36.5%,36.5%,36.5%,36.5%,36.5%
08/2017,8/1/2017,9/1/2017,43.7%,44.6%,45.3%,45.9%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%,46.2%
09/2017,9/1/2017,10/1/2017,61.4%,67.0%,70.1%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%
10/2017,10/1/2017,11/1/2017,50.0%,59.1%,61.4%,62.2%,62.4%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%
11/2017,11/1/2017,12/1/2017,54.3%,59.4%,62.5%,63.8%,65.1%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%
12/2017,12/1/2017,1/1/2018,41.5%,48.5%,53.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%,57.5%
01/2018,1/1/2018,2/1/2018,41.5%,46.6%,49.8%,52.7%,54.9%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%,56.0%
02/2018,2/1/2018,3/1/2018,51.8%,56.5%,57.6%,58.8%,59.4%,61.2%,61.2%,61.2%,61.2%,61.2%,61.2%,61.2%,61.2%,61.2%,61.2%
03/2018,3/1/2018,4/1/2018,51.4%,56.9%,60.2%,63.0%,63.5%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%,64.6%
04/2018,4/1/2018,5/1/2018,47.9%,50.7%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%,53.5%
