Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
Quarter from 04/2014,4/1/2014,7/1/2014,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
Quarter from 07/2014,7/1/2014,10/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
Quarter from 01/2015,1/1/2015,4/1/2015,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%,84.6%
Quarter from 04/2015,4/1/2015,7/1/2015,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
Quarter from 07/2015,7/1/2015,10/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
Quarter from 04/2016,4/1/2016,7/1/2016,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
Quarter from 07/2016,7/1/2016,10/1/2016,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%,61.7%
Quarter from 10/2016,10/1/2016,1/1/2017,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%,45.1%
Quarter from 01/2017,1/1/2017,4/1/2017,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
Quarter from 04/2017,4/1/2017,7/1/2017,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 07/2017,7/1/2017,10/1/2017,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%
Quarter from 10/2017,10/1/2017,1/1/2018,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,97.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
