Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,2014-01-01,2016-03-10,3.6%,6.1%,8.6%,12.9%,21.7%,28.1%,33.8%,38.7%,43.1%,56.9%,75.7%,86.7%,92.9%,95.8%
Since joining CNCF,2016-03-10,2018-04-12,1.5%,2.9%,4.3%,6.8%,11.3%,15.0%,18.2%,21.0%,23.6%,32.3%,46.8%,63.4%,79.1%,85.2%
2014,2014-01-01,2015-01-01,11.1%,19.3%,24.7%,33.5%,50.0%,57.9%,63.6%,67.5%,70.7%,79.9%,90.0%,95.1%,98.7%,100.0%
2015,2015-01-01,2016-01-01,2.9%,5.3%,7.6%,12.0%,20.5%,27.5%,33.9%,39.2%,44.3%,59.5%,79.8%,89.0%,94.1%,96.9%
2016,2016-01-01,2017-01-01,1.9%,3.8%,5.3%,7.8%,13.2%,17.9%,22.3%,26.4%,30.2%,41.8%,60.3%,76.9%,87.7%,91.8%
2017,2017-01-01,2018-01-01,2.5%,4.4%,5.8%,8.3%,13.6%,17.2%,20.4%,23.5%,26.3%,35.3%,49.7%,66.2%,81.1%,86.8%
2018,2018-01-01,2018-04-12,2.6%,4.6%,6.2%,9.0%,14.7%,18.4%,21.6%,24.3%,26.8%,34.5%,47.2%,62.2%,77.5%,84.6%
2014-01-01,2014-01-01,2014-02-01,32.8%,48.6%,60.8%,75.7%,85.8%,90.6%,93.7%,95.8%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-02-01,2014-02-01,2014-03-01,19.2%,35.9%,48.5%,65.8%,83.1%,91.1%,94.8%,96.7%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-03-01,2014-03-01,2014-04-01,22.7%,41.0%,54.1%,67.0%,82.0%,89.2%,92.5%,95.1%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-04-01,2014-04-01,2014-05-01,19.9%,38.1%,52.7%,68.4%,81.6%,89.2%,92.5%,95.1%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
