Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
Quarter from 2014-04,2014-04-01,2014-07-01,32.0%,59.1%,67.0%,81.4%,89.7%,93.9%,96.0%,97.3%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-07,2014-07-01,2014-10-01,17.6%,29.2%,37.5%,49.5%,62.5%,70.9%,77.4%,82.0%,85.7%,94.1%,99.0%,100.0%,100.0%,100.0%
Quarter from 2014-10,2014-10-01,2015-01-01,11.5%,18.2%,24.3%,35.0%,55.2%,64.8%,72.2%,78.8%,83.2%,92.4%,98.5%,100.0%,100.0%,100.0%
Quarter from 2015-01,2015-01-01,2015-04-01,11.8%,22.2%,30.7%,45.3%,67.9%,83.4%,92.0%,96.8%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-04,2015-04-01,2015-07-01,8.2%,14.7%,20.5%,30.2%,52.6%,69.7%,82.4%,91.8%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-07,2015-07-01,2015-10-01,7.8%,14.6%,21.3%,33.3%,57.1%,71.9%,81.7%,89.9%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-10,2015-10-01,2016-01-01,14.3%,19.8%,25.1%,35.1%,55.2%,67.8%,78.0%,86.2%,91.3%,99.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-01,2016-01-01,2016-04-01,16.2%,26.8%,32.9%,43.5%,61.1%,73.4%,81.0%,86.9%,91.4%,99.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-04,2016-04-01,2016-07-01,9.9%,18.2%,24.9%,33.7%,52.2%,65.1%,74.8%,82.7%,88.1%,97.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-07,2016-07-01,2016-10-01,9.8%,15.7%,21.2%,30.2%,44.1%,53.3%,61.0%,68.0%,74.2%,88.4%,99.6%,100.0%,100.0%,100.0%
Quarter from 2016-10,2016-10-01,2017-01-01,6.3%,12.0%,16.6%,24.6%,38.6%,48.7%,57.2%,64.4%,70.9%,86.4%,98.5%,100.0%,100.0%,100.0%
Quarter from 2017-01,2017-01-01,2017-04-01,12.2%,16.3%,19.6%,25.0%,36.3%,45.6%,52.9%,58.9%,64.3%,80.1%,96.8%,100.0%,100.0%,100.0%
Quarter from 2017-04,2017-04-01,2017-07-01,18.6%,22.1%,25.3%,30.5%,40.9%,50.5%,57.8%,64.0%,68.8%,82.9%,97.7%,100.0%,100.0%,100.0%
Quarter from 2017-07,2017-07-01,2017-10-01,12.8%,18.5%,23.3%,30.0%,41.2%,49.6%,56.6%,61.9%,66.4%,80.2%,95.7%,100.0%,100.0%,100.0%
Quarter from 2017-10,2017-10-01,2018-01-01,6.7%,12.3%,16.7%,24.3%,37.7%,46.9%,54.7%,61.0%,66.4%,80.1%,96.1%,100.0%,100.0%,100.0%
Quarter from 2018-01,2018-01-01,2018-04-01,7.2%,14.1%,19.2%,27.7%,42.5%,51.1%,57.9%,63.6%,69.0%,84.4%,97.4%,100.0%,100.0%,100.0%
